Event,Game,HomeTeam,AwayTeam, Start Date , Start Time , Location , Category , TV ,Week
Football, Baylor at SMU, Baylor,SMU,9/6/2025,11:00 AM,Dallas Texas,Football,The CW,1
Football, Iowa at Iowa State, Iowa,Iowa State,9/6/2025,11:00 AM,Ames Iowa,Football,FOX,1
Football, Kent State at Texas Tech, Kent State,Texas Tech,9/6/2025,11:00 AM,Lubbock Texas,Football,TNT and HBO Max,1
Football, Bowling Green at Cincinnati, Bowling Green,Cincinnati,9/6/2025,2:30 PM,Cincinnati Ohio,Football,ESPN+,1
Football, Delaware at Colorado, Delaware,Colorado,9/6/2025,2:30 PM,Boulder Colo.,Football,FOX,1
Football, Kansas at Missouri, Kansas,Missouri,9/6/2025,2:30 PM,Columbia Mo.,Football,ESPN2,1
Football, Oklahoma State at Oregon, Oklahoma State,Oregon,9/6/2025,2:30 PM,Eugene Ore.,Football,CBS,1
Football, West Virginia at Ohio, West Virginia,Ohio,9/6/2025,3:00 PM,Athens Ohio,Football,ESPNU,1
Football, Cal Poly at Utah, Cal Poly,Utah,9/6/2025,5:00 PM,Salt Lake City Utah,Football,ESPN+,1
Football, Houston at Rice, Houston,Rice,9/6/2025,6:00 PM,Houston Texas ,Football,ESPN+,1
Football, Army at Kansas State, Army,Kansas State,9/6/2025,6:00 PM,Manhattan Kan.,Football,ESPN,1
Football, North Carolina A&T at UCF, North Carolina A&T,UCF,9/6/2025,6:00 PM,Orlando Fla. ,Football,ESPN+,1
Football, Arizona State at Mississippi State, Arizona State,Mississippi State,9/6/2025,6:30 PM,Starkville Miss.,Football,ESPN2,1
Football, Weber State at Arizona, Weber State,Arizona,9/6/2025,9:00 PM,Tucson Ariz.,Football,ESPN+,1
Football, Stanford at BYU, Stanford,BYU,9/6/2025,9:15 PM,Provo Utah,Football,ESPN,1
Football, Colorado at Houston, Colorado,Houston,9/12/2025,6:30 PM,Houston Texas,Football,ESPN,2
Football, Kansas State at Arizona, Kansas State,Arizona,9/12/2025,8:00 PM,Tucson Ariz.,Football,FOX,2
Football, Samford at Baylor, Samford,Baylor,9/13/2025,11:00 AM,Waco Texas,Football,ESPN+,2
Football, Northwestern State at Cincinnati, Northwestern State,Cincinnati,9/13/2025,2:30 PM,Cincinnati Ohio,Football,ESPN+,2
Football, Oregon State at Texas Tech, Oregon State,Texas Tech,9/13/2025,2:30 PM,Lubbock Texas,Football,FOX,2
Football, Pittsburgh at West Virginia, Pittsburgh,West Virginia,9/13/2025,2:30 PM,Morgantown W. Va.,Football,ESPN,2
Football, Iowa State at Arkansas State, Iowa State,Arkansas State,9/13/2025,3:00 PM,Jonesboro Ark.,Football,ESPN2,2
Football, Abilene Christian at TCU, Abilene Christian,TCU,9/13/2025,7:00 PM,Fort Worth Texas,Football,ESPN+,2
Football, Utah at Wyoming, Utah,Wyoming,9/13/2025,7:00 PM,Laramie Wyo.,Football,CBS Sports Network,2
Football, Texas State at Arizona State, Texas State,Arizona State,9/13/2025,9:30 PM,Tempe Ariz.,Football,TNT and HBO Max,2
Football, Tulsa at Oklahoma State, Tulsa,Oklahoma State,9/19/2025,6:00 PM,Stillwater Okla.,Football,ESPN,3
Football, North Carolina at UCF, North Carolina,UCF,9/20/2025,12:00 AM,Orlando Fla. ,Football,,3
Football, BYU at East Carolina, BYU,East Carolina,9/20/2025,12:00 AM,Greenville N.C.,Football,,3
Football, West Virginia at Kansas, West Virginia,Kansas,9/20/2025,12:00 AM,Lawrence Kan.,Football,,3
Football, SMU at TCU, SMU,TCU,9/20/2025,12:00 AM,Fort Worth Texas,Football,,3
Football, Arizona State at Baylor, Arizona State,Baylor,9/20/2025,12:00 AM,Waco Texas,Football,,3
Football, Texas Tech at Utah, Texas Tech,Utah,9/20/2025,12:00 AM,Salt Lake City Utah,Football,,3
Football, Wyoming at Colorado, Wyoming,Colorado,9/20/2025,12:00 AM,Boulder Colo.,Football,,3
Football, TCU at Arizona State, TCU,Arizona State,9/26/2025,8:00 PM,Tempe Ariz.,Football,FOX,4
Football, Houston at Oregon State, Houston,Oregon State,9/26/2025,9:30 PM,Corvallis Ore.,Football,ESPN,4
Football, Utah at West Virginia, Utah,West Virginia,9/27/2025,12:00 AM,Morgantown W. Va.,Football,,4
Football, BYU at Colorado, BYU,Colorado,9/27/2025,9:15 PM,Boulder Colo.,Football,ESPN,4
Football, Baylor at Oklahoma State, Baylor,Oklahoma State,9/27/2025,12:00 AM,Stillwater Okla.,Football,,4
Football, Cincinnati at Kansas, Cincinnati,Kansas,9/27/2025,12:00 AM,Lawrence Kan.,Football,,4
Football, UCF at Kansas State, UCF,Kansas State,9/27/2025,12:00 AM,Manhattan Kan.,Football,,4
Football, Arizona at Iowa State, Arizona,Iowa State,9/27/2025,12:00 AM,Ames Iowa,Football,,4
Football, West Virginia at BYU, West Virginia,BYU,10/3/2025,9:30 PM,Provo Utah,Football,ESPN,5
Football, Kansas at UCF, Kansas,UCF,10/4/2025,12:00 AM,Orlando Fla.,Football,,5
Football, Iowa State at Cincinnati, Iowa State,Cincinnati,10/4/2025,12:00 AM,Cincinnati Ohio,Football,,5
Football, Colorado at TCU, Colorado,TCU,10/4/2025,12:00 AM,Fort Worth Texas,Football,,5
Football, Texas Tech at Houston, Texas Tech,Houston,10/4/2025,12:00 AM,Houston Texas,Football,,5
Football, Kansas State at Baylor, Kansas State,Baylor,10/4/2025,12:00 AM,Waco Texas,Football,,5
Football, Oklahoma State at Arizona, Oklahoma State,Arizona,10/4/2025,12:00 AM,Tucson Ariz.,Football,,5
Football, UCF at Cincinnati, UCF,Cincinnati,10/11/2025,12:00 AM,Cincinnati Ohio,Football,,6
Football, TCU at Kansas State, TCU,Kansas State,10/11/2025,12:00 AM,Manhattan Kan.,Football,,6
Football, Kansas at Texas Tech, Kansas,Texas Tech,10/11/2025,12:00 AM,Lubbock Texas,Football,,6
Football, Houston at Oklahoma State, Houston,Oklahoma State,10/11/2025,12:00 AM,Stillwater OK,Football,,6
Football, Iowa State at Colorado, Iowa State,Colorado,10/11/2025,12:00 AM,Boulder Colo.,Football,,6
Football, BYU at Arizona, BYU,Arizona,10/11/2025,12:00 AM,Tucson Ariz.,Football,,6
Football, Arizona State at Utah, Arizona State,Utah,10/11/2025,12:00 AM,Salt Lake City Utah,Football,,6
Football, West Virginia at UCF, West Virginia,UCF,10/18/2025,12:00 AM,Orlando Fla.,Football,,7
Football, Utah at BYU, Utah,BYU,10/18/2025,12:00 AM,Provo Utah,Football,,7
Football, Cincinnati at Oklahoma State, Cincinnati,Oklahoma State,10/18/2025,12:00 AM,Stillwater Okla.,Football,,7
Football, Baylor at TCU, Baylor,TCU,10/18/2025,12:00 AM,Fort Worth Texas,Football,,7
Football, Arizona at Houston, Arizona,Houston,10/18/2025,12:00 AM,Houston Texas,Football,,7
Football, Texas Tech at Arizona State, Texas Tech,Arizona State,10/18/2025,12:00 AM,Tempe Ariz.,Football,,7
Football, Baylor at Cincinnati, Baylor,Cincinnati,10/25/2025,12:00 AM,Cincinnati Ohio,Football,,8
Football, TCU at West Virginia, TCU,West Virginia,10/25/2025,12:00 AM,Morgantown W. Va.,Football,,8
Football, BYU at Iowa State, BYU,Iowa State,10/25/2025,12:00 AM,Ames Iowa,Football,,8
Football, Kansas State at Kansas, Kansas State,Kansas,10/25/2025,12:00 AM,Lawrence Kan.,Football,,8
Football, Oklahoma State at Texas Tech, Oklahoma State,Texas Tech,10/25/2025,12:00 AM,Lubbock Texas,Football,,8
Football, Houston at Arizona State, Houston,Arizona State,10/25/2025,12:00 AM,Tempe Ariz.,Football,,8
Football, Colorado at Utah, Colorado,Utah,10/25/2025,12:00 AM,Salt Lake City Utah,Football,,8
Football, Oklahoma State at Kansas, Oklahoma State,Kansas,11/1/2025,12:00 AM,Lawrence Kan.,Football,,9
Football, Texas Tech at Kansas State, Texas Tech,Kansas State,11/1/2025,12:00 AM,Manhattan Kan.,Football,,9
Football, West Virginia at Houston, West Virginia,Houston,11/1/2025,12:00 AM,Houston Texas,Football,,9
Football, UCF at Baylor, UCF,Baylor,11/1/2025,12:00 AM,Waco Texas,Football,,9
Football, Arizona State at Iowa State, Arizona State,Iowa State,11/1/2025,12:00 AM,Ames IA,Football,,9
Football, Cincinnati at Utah, Cincinnati,Utah,11/1/2025,12:00 AM,Salt Lake City Utah,Football,,9
Football, Arizona at Colorado, Arizona,Colorado,11/1/2025,12:00 AM,Boulder Colo.,Football,,9
Football, Houston at UCF, Houston,UCF,11/7/2025,12:00 AM,Orlando Fla.,Football,FS1,10
Football, Colorado at West Virginia, Colorado,West Virginia,11/8/2025,12:00 AM,Morgantown W. Va.,Football,,10
Football, BYU at Texas Tech, BYU,Texas Tech,11/8/2025,12:00 AM,Lubbock Texas,Football,,10
Football, Iowa State at TCU, Iowa State,TCU,11/8/2025,12:00 AM,Fort Worth Texas,Football,,10
Football, Kansas at Arizona, Kansas,Arizona,11/8/2025,12:00 AM,Tucson Ariz.,Football,,10
Football, TCU at BYU, TCU,BYU,11/15/2025,12:00 AM,Provo UT,Football,,11
Football, Arizona at Cincinnati, Arizona,Cincinnati,11/15/2025,12:00 AM,Cincinnati Ohio,Football,,11
Football, Utah at Baylor, Utah,Baylor,11/15/2025,12:00 AM,Waco Texas,Football,,11
Football, UCF at Texas Tech, UCF,Texas Tech,11/15/2025,12:00 AM,Lubbock Texas,Football,,11
Football, Kansas State at Oklahoma State, Kansas State,Oklahoma State,11/15/2025,12:00 AM,Stillwater Okla.,Football,,11
Football, West Virginia at Arizona State, West Virginia,Arizona State,11/15/2025,12:00 AM,Tempe Ariz.,Football,,11
Football, Oklahoma State at UCF, Oklahoma State,UCF,11/22/2025,12:00 AM,Orlando Fla.,Football,,12
Football, BYU at Cincinnati, BYU,Cincinnati,11/22/2025,12:00 AM,Cincinnati Ohio,Football,,12
Football, Kansas at Iowa State, Kansas,Iowa State,11/22/2025,12:00 AM,Ames Iowa,Football,,12
Football, TCU at Houston, TCU,Houston,11/22/2025,12:00 AM,Houston Texas,Football,,12
Football, Kansas State at Utah, Kansas State,Utah,11/22/2025,12:00 AM,Salt Lake City Utah,Football,,12
Football, Baylor at Arizona, Baylor,Arizona,11/22/2025,12:00 AM,Tucson Ariz. ,Football,,12
Football, Arizona State at Colorado, Arizona State,Colorado,11/22/2025,12:00 AM,Boulder CO,Football,,12
Football, Utah at Kansas, Utah,Kansas,11/28/2025,11:00 AM,Lawrence Kan.,Football,ABC or ESPN,13
Football, Arizona at Arizona State, Arizona,Arizona State,11/28/2025,12:00 AM,Tempe Ariz.,Football,FOX,13
Football, UCF at BYU, UCF,BYU,11/29/2025,12:00 AM,Provo Utah,Football,,13
Football, Texas Tech at West Virginia, Texas Tech,West Virginia,11/29/2025,12:00 AM,Morgantown W. Va.,Football,,13
Football, Cincinnati at TCU, Cincinnati,TCU,11/29/2025,12:00 AM,Fort Worth Texas,Football,,13
Football, Colorado at Kansas State, Colorado,Kansas State,11/29/2025,12:00 AM,Manhattan Kan.,Football,,13
Football, Iowa State at Oklahoma State, Iowa State,Oklahoma State,11/29/2025,12:00 AM,Stillwater Okla.,Football,,13
Football, Houston at Baylor, Houston,Baylor,11/29/2025,12:00 AM,Waco Texas,Football,,13
