Year,Team,Fumbles Recovered,FumblesLost,Int,Interceptions
2011-12,BYU,,,,
2012-13,BYU,2,,3,3
,Defensive,,2,3,3
2013-14,BYU,10,7,13,14
,Defensive,7,10,14,13
2014-15,BYU,12,15,14,12
,Defensive,15,12,12,14
2015-16,BYU,7,8,15,12
,Defensive,8,7,12,15
2016-17,BYU,10,7,21,12
,Defensive,7,10,12,21
2017-18,BYU,9,8,8,19
,Defensive,8,9,19,8
2018-19,BYU,9,10,9,7
,Defensive,10,9,7,9
2019-20,BYU,7,10,15,11
,Defensive,10,7,11,15
2020-21,BYU,10,5,8,4
,Defensive,5,7,4,8
2021-22,BYU,8,7,15,5
,Defensive,8,6,5,15
2022-23,BYU,4,3,8,7
,Defensive,3,4,7,8
2023-24,BYU,6,10,14,9
,Defensive,10,6,9,14
