TeamNM,Date,Opponent,Result,All-Purpose Yards_IntYds,All-Purpose Yards_ReceivingYards,All-Purpose Yards_Int,All-Purpose Yards_FRetYds,All-Purpose Yards_Punt Ret Yds,All-Purpose Yards_KO Ret Yds,All-Purpose Yards_APY,All-Purpose Yards_All-Purpose Yards/G,All-Purpose Yards_AP Plays
Arizona,09/02/2023,Northern Ariz.,W 38-3,,292,,,,,478,,47
Arizona,09/09/2023,@ Mississippi St.,L 24-31 (1 OT),,340,,,,35,466,,60
Arizona,09/16/2023,UTEP,W 31-10,,300,,22,,42,608,,61
Arizona,09/23/2023,@ Stanford,W 21-20,,204,,,10,6,365,,58
Arizona,09/30/2023,Washington,L 24-31,,232,,,-1,-1,340,,60
Arizona,10/07/2023,@ Southern California,L 41-43 (3 OT),,303,,,,,506,,68
Arizona,10/14/2023,@ Washington St.,W 44-6,,342,2,,,,516,,73
Arizona,10/28/2023,Oregon St.,W 27-24,,275,,,36,,399,,57
Arizona,11/04/2023,UCLA,W 27-10,,300,,,11,20,460,,63
Arizona,11/11/2023,@ Colorado,W 34-31,,214,,,6,40,467,,52
Arizona,11/18/2023,Utah,W 42-18,36,325,2,,4,,483,,52
Arizona,11/25/2023,@ Arizona St.,W 59-23,40,527,2,,12,5,676,,59
Arizona,12/28/2023,"Oklahoma @San Antonio, TX",W 38-24,12,354,3,91,,19,505,,54
