TeamNM,Date,Opponent,Result,Kickoffs and KO Returns_KO,Kickoffs and KO Returns_KO Yds,Kickoffs and KO Returns_KO TB,Kickoffs and KO Returns_KO Ret,Kickoffs and KO Returns_Kick Ret TDs,Kickoffs and KO Returns_KO Ret Yds,Kickoffs and KO Returns_Net KO Yds.,Kickoffs and KO Returns_fc yds
Arizona,09/02/2023,Northern Ariz.,W 38-3,7,454,6,,,,279,
Arizona,09/09/2023,@ Mississippi St.,L 24-31 (1 OT),5,310,4,2,,35,189,
Arizona,09/16/2023,UTEP,W 31-10,6,390,6,3,,42,240,
Arizona,09/23/2023,@ Stanford,W 21-20,4,260,4,1,,6,160,
Arizona,09/30/2023,Washington,L 24-31,4,219,3,1,,-1,143,
Arizona,10/07/2023,@ Southern California,L 41-43 (3 OT),6,385,4,,,,248,
Arizona,10/14/2023,@ Washington St.,W 44-6,9,585,8,,,,385,
Arizona,10/28/2023,Oregon St.,W 27-24,6,387,5,,,,243,
Arizona,11/04/2023,UCLA,W 27-10,6,390,6,1,,20,240,
Arizona,11/11/2023,@ Colorado,W 34-31,6,390,6,2,,40,240,
Arizona,11/18/2023,Utah,W 42-18,7,455,7,,,,280,
Arizona,11/25/2023,@ Arizona St.,W 59-23,10,622,7,1,,5,420,
Arizona,12/28/2023,"Oklahoma @San Antonio, TX",W 38-24,8,520,7,1,,19,345,
