TeamNM,Date,Opponent,Result,Passes Defended_IntYds,Passes Defended_PBU,Passes Defended_Int,Passes Defended_Int Ret TDs,Passes Defended_PDef
Arizona,09/02/2023,Northern Ariz.,W 38-3,,6,,,6.00
Arizona,09/09/2023,@ Mississippi St.,L 24-31 (1 OT),,,,,
Arizona,09/16/2023,UTEP,W 31-10,,4,,,4.00
Arizona,09/23/2023,@ Stanford,W 21-20,,4,,,4.00
Arizona,09/30/2023,Washington,L 24-31,,3,,,3.00
Arizona,10/07/2023,@ Southern California,L 41-43 (3 OT),,2,,,2.00
Arizona,10/14/2023,@ Washington St.,W 44-6,,3,2,,5.00
Arizona,10/28/2023,Oregon St.,W 27-24,,7,,,7.00
Arizona,11/04/2023,UCLA,W 27-10,,5,,,5.00
Arizona,11/11/2023,@ Colorado,W 34-31,,6,,,6.00
Arizona,11/18/2023,Utah,W 42-18,36,6,2,,8.00
Arizona,11/25/2023,@ Arizona St.,W 59-23,40,3,2,,5.00
Arizona,12/28/2023,"Oklahoma @San Antonio, TX",W 38-24,12,4,3,,7.00
