TeamNM,Date,Opponent,Result,Passing_Pass Attempts,Passing_Completions,Passing_Interceptions,Passing_Pass Yards,Passing_PassTDs,Passing_Pass Eff,Passing_Completions Per Game,Passing_Yds PerCompletion,Passing_Pct,Passing_Pass Yards/G
Arizona,09/02/2023,Northern Ariz.,W 38-3,26,20,1,292,3,201.65,20.00,14.600,0.769,292.00
Arizona,09/09/2023,@ Mississippi St.,L 24-31 (1 OT),47,33,4,340,2,128.00,33.00,10.303,0.702,340.00
Arizona,09/16/2023,UTEP,W 31-10,32,25,,300,3,187.81,25.00,12.000,0.781,300.00
Arizona,09/23/2023,@ Stanford,W 21-20,30,18,,204,1,128.12,18.00,11.333,0.600,204.00
Arizona,09/30/2023,Washington,L 24-31,39,27,1,232,3,139.46,27.00,8.593,0.692,232.00
Arizona,10/07/2023,@ Southern California,L 41-43 (3 OT),35,25,1,303,5,185.58,25.00,12.120,0.714,303.00
Arizona,10/14/2023,@ Washington St.,W 44-6,43,34,,342,,145.88,34.00,10.059,0.791,342.00
Arizona,10/28/2023,Oregon St.,W 27-24,32,25,1,275,3,175.00,25.00,11.000,0.781,275.00
Arizona,11/04/2023,UCLA,W 27-10,33,25,1,300,3,176.06,25.00,12.000,0.758,300.00
Arizona,11/11/2023,@ Colorado,W 34-31,35,21,,214,2,130.22,21.00,10.190,0.600,214.00
Arizona,11/18/2023,Utah,W 42-18,33,25,,325,4,198.48,25.00,13.000,0.758,325.00
Arizona,11/25/2023,@ Arizona St.,W 59-23,41,30,1,527,5,216.51,30.00,17.567,0.732,527.00
Arizona,12/28/2023,"Oklahoma @San Antonio, TX",W 38-24,38,24,1,354,2,153.52,24.00,14.750,0.632,354.00
