TeamNM,Date,Opponent,Result,Punting_Punts inside 20,Punting_Punts,Punting_Punt Yds,Punting_Punt Avg,Punting_Punt TBs,Punting_Long Punt,Punting_Net Punt Yds
Arizona,09/02/2023,Northern Ariz.,W 38-3,,1,39,39.0,,39,39
Arizona,09/09/2023,@ Mississippi St.,L 24-31 (1 OT),1,2,71,35.5,,37,46
Arizona,09/16/2023,UTEP,W 31-10,2,3,102,34.0,,39,102
Arizona,09/23/2023,@ Stanford,W 21-20,1,5,191,38.2,1,42,171
Arizona,09/30/2023,Washington,L 24-31,2,3,140,46.7,,69,140
Arizona,10/07/2023,@ Southern California,L 41-43 (3 OT),1,3,109,36.3,,43,104
Arizona,10/14/2023,@ Washington St.,W 44-6,2,2,86,43.0,,45,86
Arizona,10/28/2023,Oregon St.,W 27-24,1,2,103,51.5,,54,95
Arizona,11/04/2023,UCLA,W 27-10,,2,40,20.0,1,40,20
Arizona,11/11/2023,@ Colorado,W 34-31,1,6,269,44.8,,49,196
Arizona,11/18/2023,Utah,W 42-18,2,3,131,43.7,1,50,111
Arizona,11/25/2023,@ Arizona St.,W 59-23,,1,58,58.0,,58,22
Arizona,12/28/2023,"Oklahoma @San Antonio, TX",W 38-24,2,6,267,44.5,1,57,249
