TeamNM,Date,Opponent,Result,Receiving_Rec,Receiving_ReceivingYards,Receiving_ReceptionsPer Game,Receiving_Yards PerReception,Receiving_Rec TD,Receiving_Rec Yds/G,Receiving_Long Rec
Arizona,09/02/2023,Northern Ariz.,W 38-3,20,292,20.00,14.60,3,292.00,39
Arizona,09/09/2023,@ Mississippi St.,L 24-31 (1 OT),33,340,33.00,10.30,2,340.00,55
Arizona,09/16/2023,UTEP,W 31-10,25,300,25.00,12.00,3,300.00,37
Arizona,09/23/2023,@ Stanford,W 21-20,18,204,18.00,11.33,1,204.00,36
Arizona,09/30/2023,Washington,L 24-31,27,232,27.00,8.59,3,232.00,33
Arizona,10/07/2023,@ Southern California,L 41-43 (3 OT),25,303,25.00,12.12,5,303.00,39
Arizona,10/14/2023,@ Washington St.,W 44-6,34,342,34.00,10.06,,342.00,69
Arizona,10/28/2023,Oregon St.,W 27-24,25,275,25.00,11.00,3,275.00,40
Arizona,11/04/2023,UCLA,W 27-10,25,300,25.00,12.00,3,300.00,66
Arizona,11/11/2023,@ Colorado,W 34-31,21,214,21.00,10.19,2,214.00,31
Arizona,11/18/2023,Utah,W 42-18,25,325,25.00,13.00,4,325.00,51
Arizona,11/25/2023,@ Arizona St.,W 59-23,30,527,30.00,17.57,5,527.00,57
Arizona,12/28/2023,"Oklahoma @San Antonio, TX",W 38-24,24,354,24.00,14.75,2,354.00,57
