TeamNM,Date,Opponent,Result,Redzone_RZScores,Redzone_RZAtt,Redzone_RZPts,Redzone_RZ Rush TD,Redzone_RZ Pass TD,Redzone_RZ FG Made,Redzone_RZEndFGA,Redzone_RZEndFumble,Redzone_RZEndINT,Redzone_RZEndDowns,Redzone_RZEndHalf,Redzone_RZEndGame
Arizona,09/02/2023,Northern Ariz.,W 38-3,4,5,25,,3,1,1,1/,,,,
Arizona,09/09/2023,@ Mississippi St.,L 24-31 (1 OT),4,5,24,1,2,1,1,1/,,,,
Arizona,09/16/2023,UTEP,W 31-10,5,5,31,1,3,1,1,,,,,
Arizona,09/23/2023,@ Stanford,W 21-20,2,2,14,2,,,,,,,,
Arizona,09/30/2023,Washington,L 24-31,4,4,24,,3,1,1,,,,,
Arizona,10/07/2023,@ Southern California,L 41-43 (3 OT),5,5,27,,3,2,2,,,,,
Arizona,10/14/2023,@ Washington St.,W 44-6,5,5,27,3,,2,2,,,,,
Arizona,10/28/2023,Oregon St.,W 27-24,3,3,17,,2,1,1,,,,,
Arizona,11/04/2023,UCLA,W 27-10,5,5,27,,3,2,2,,,,,
Arizona,11/11/2023,@ Colorado,W 34-31,5,5,31,2,2,1,1,,,,,
Arizona,11/18/2023,Utah,W 42-18,2,3,14,1,1,,1,,,,,
Arizona,11/25/2023,@ Arizona St.,W 59-23,6,7,38,2,3,1,1,,1,,,
Arizona,12/28/2023,"Oklahoma @San Antonio, TX",W 38-24,3,3,13,1,,2,2,,,,,
