TeamNM,Date,Opponent,Result,Rushing_Rush Attempts,Rushing_Rush Net Yards,Rushing_Rush YdsGained,Rushing_Rush YdsLost,Rushing_Yds/Rush,Rushing_RushTDs,Rushing_Rush Yds/G,Rushing_Rush Long
Arizona,09/02/2023,Northern Ariz.,W 38-3,27,186,204,18,6.89,1,186.00,53
Arizona,09/09/2023,@ Mississippi St.,L 24-31 (1 OT),25,91,100,9,3.64,1,91.00,13
Arizona,09/16/2023,UTEP,W 31-10,32,244,262,18,7.63,1,244.00,59
Arizona,09/23/2023,@ Stanford,W 21-20,37,145,156,11,3.92,2,145.00,24
Arizona,09/30/2023,Washington,L 24-31,31,110,117,7,3.55,,110.00,13
Arizona,10/07/2023,@ Southern California,L 41-43 (3 OT),42,203,232,29,4.83,,203.00,42
Arizona,10/14/2023,@ Washington St.,W 44-6,37,174,195,21,4.70,5,174.00,40
Arizona,10/28/2023,Oregon St.,W 27-24,30,88,119,31,2.93,,88.00,19
Arizona,11/04/2023,UCLA,W 27-10,35,129,158,29,3.69,,129.00,19
Arizona,11/11/2023,@ Colorado,W 34-31,27,207,218,11,7.67,2,207.00,54
Arizona,11/18/2023,Utah,W 42-18,24,118,130,12,4.92,1,118.00,25
Arizona,11/25/2023,@ Arizona St.,W 59-23,25,92,103,11,3.68,3,92.00,24
Arizona,12/28/2023,"Oklahoma @San Antonio, TX",W 38-24,26,29,84,55,1.12,1,29.00,19
