TeamNM,Date,Opponent,Result,Sacks_SackUA,Sacks_SackA,Sacks_Sack Yds,Sacks_Sacks
Arizona,09/02/2023,Northern Ariz.,W 38-3,,2,1,1.0
Arizona,09/09/2023,@ Mississippi St.,L 24-31 (1 OT),2,,15,2.0
Arizona,09/16/2023,UTEP,W 31-10,3,,27,3.0
Arizona,09/23/2023,@ Stanford,W 21-20,4,2,28,5.0
Arizona,09/30/2023,Washington,L 24-31,2,,5,2.0
Arizona,10/07/2023,@ Southern California,L 41-43 (3 OT),3,2,22,4.0
Arizona,10/14/2023,@ Washington St.,W 44-6,2,,13,2.0
Arizona,10/28/2023,Oregon St.,W 27-24,1,,8,1.0
Arizona,11/04/2023,UCLA,W 27-10,3,,22,3.0
Arizona,11/11/2023,@ Colorado,W 34-31,3,,27,3.0
Arizona,11/18/2023,Utah,W 42-18,3,,28,3.0
Arizona,11/25/2023,@ Arizona St.,W 59-23,2,,11,2.0
Arizona,12/28/2023,"Oklahoma @San Antonio, TX",W 38-24,3,,25,3.0
