TeamNM,Date,Opponent,Result,Scoring_TDs,Scoring_Kick PAT,Scoring_PAT Att,Scoring_RushPAT,Scoring_Ru2PTAtt,Scoring_ReceivingPAT,Scoring_Pass 2Pt Conv,Scoring_Pass 2PT Att,Scoring_Kick ReturnPAT,Scoring_Fumb RetPAT,Scoring_FG,Scoring_Safeties,Scoring_Points
Arizona,09/02/2023,Northern Ariz.,W 38-3,5,5,5,,,,,,,,1,,38
Arizona,09/09/2023,@ Mississippi St.,L 24-31 (1 OT),3,3,3,,,,,,,,1,,24
Arizona,09/16/2023,UTEP,W 31-10,4,4,4,,,,,,,,1,,31
Arizona,09/23/2023,@ Stanford,W 21-20,3,3,3,,,,,,,,,,21
Arizona,09/30/2023,Washington,L 24-31,3,3,3,,,,,,,,1,,24
Arizona,10/07/2023,@ Southern California,L 41-43 (3 OT),5,3,3,,1,1,1,2/,,,2,,41
Arizona,10/14/2023,@ Washington St.,W 44-6,5,5,5,,,,,,,,3,,44
Arizona,10/28/2023,Oregon St.,W 27-24,3,3,3,,,,,,,,2,,27
Arizona,11/04/2023,UCLA,W 27-10,3,3,3,,,,,,,,2,,27
Arizona,11/11/2023,@ Colorado,W 34-31,4,4,4,,,,,,,,2,,34
Arizona,11/18/2023,Utah,W 42-18,6,6,6,,,,,,,,,,42
Arizona,11/25/2023,@ Arizona St.,W 59-23,8,8,8,,,,,,,,1,,59
Arizona,12/28/2023,"Oklahoma @San Antonio, TX",W 38-24,4,3,3,,,1,1,1,,,3,,38
