TeamNM,Date,Opponent,Result,All-Purpose Yards_IntYds,All-Purpose Yards_ReceivingYards,All-Purpose Yards_Int,All-Purpose Yards_FRetYds,All-Purpose Yards_Punt Ret Yds,All-Purpose Yards_KO Ret Yds,All-Purpose Yards_APY,All-Purpose Yards_All-Purpose Yards/G,All-Purpose Yards_AP Plays
Arizona St,08/31/2023,Southern Utah,W 24-21,,236,,,,100,471,,55
Arizona St,09/09/2023,Oklahoma St.,L 15-27,,167,,,,22,299,,51
Arizona St,09/16/2023,Fresno St.,L 0-29,,188,,,7,102,339,,50
Arizona St,09/23/2023,Southern California,L 28-42,,263,,,,83,436,,58
Arizona St,09/30/2023,@ California,L 21-24,,362,,,32,128,599,,63
Arizona St,10/07/2023,Colorado,L 24-27,,335,,,15,42,449,,66
Arizona St,10/21/2023,@ Washington,L 7-15,,196,2,,,16,357,,61
Arizona St,10/28/2023,Washington St.,W 38-27,,274,,,,16,525,,59
Arizona St,11/04/2023,@ Utah,L 3-55,,40,,,7,130,220,,42
Arizona St,11/11/2023,@ UCLA,W 17-7,,176,,3,3,,256,,53
Arizona St,11/18/2023,Oregon,L 13-49,15,205,2,,,44,375,,48
Arizona St,11/25/2023,Arizona,L 23-59,32,82,1,,36,27,401,,57
