TeamNM,Date,Opponent,Result,Kicking_FGM,Kicking_FGA,Kicking_FG Blocks Allowed,Kicking_Long FGM
Arizona St,08/31/2023,Southern Utah,W 24-21,1,1,,38
Arizona St,09/09/2023,Oklahoma St.,L 15-27,,,,
Arizona St,09/16/2023,Fresno St.,L 0-29,,,,
Arizona St,09/23/2023,Southern California,L 28-42,2,2,,35
Arizona St,09/30/2023,@ California,L 21-24,2,2,,29
Arizona St,10/07/2023,Colorado,L 24-27,1,2,1/,33
Arizona St,10/21/2023,@ Washington,L 7-15,,2,1/,
Arizona St,10/28/2023,Washington St.,W 38-27,1,2,,51
Arizona St,11/04/2023,@ Utah,L 3-55,1,1,,35
Arizona St,11/11/2023,@ UCLA,W 17-7,1,1,,29
Arizona St,11/18/2023,Oregon,L 13-49,2,3,,38
Arizona St,11/25/2023,Arizona,L 23-59,,,,
