TeamNM,Date,Opponent,Result,Kickoffs and KO Returns_KO,Kickoffs and KO Returns_KO Yds,Kickoffs and KO Returns_KO TB,Kickoffs and KO Returns_KO Ret,Kickoffs and KO Returns_Kick Ret TDs,Kickoffs and KO Returns_KO Ret Yds,Kickoffs and KO Returns_Net KO Yds.,Kickoffs and KO Returns_fc yds
Arizona St,08/31/2023,Southern Utah,W 24-21,5,254,1,2,,100,180,
Arizona St,09/09/2023,Oklahoma St.,L 15-27,3,195,3,1,,22,120,
Arizona St,09/16/2023,Fresno St.,L 0-29,1,65,1,5,,102,40,
Arizona St,09/23/2023,Southern California,L 28-42,5,325,2,3,,83,229,
Arizona St,09/30/2023,@ California,L 21-24,5,316,1,4,,128,277,
Arizona St,10/07/2023,Colorado,L 24-27,4,260,4,3,,42,160,
Arizona St,10/21/2023,@ Washington,L 7-15,2,124,,2,,16,82,
Arizona St,10/28/2023,Washington St.,W 38-27,6,383,4,1,,16,283,
Arizona St,11/04/2023,@ Utah,L 3-55,2,121,,4,,130,75,
Arizona St,11/11/2023,@ UCLA,W 17-7,4,258,1,,,,189,
Arizona St,11/18/2023,Oregon,L 13-49,4,260,4,3,,44,160,
Arizona St,11/25/2023,Arizona,L 23-59,4,252,3,3,,27,172,
