TeamNM,Date,Opponent,Result,Passing_Pass Attempts,Passing_Completions,Passing_Interceptions,Passing_Pass Yards,Passing_PassTDs,Passing_Pass Eff,Passing_Completions Per Game,Passing_Yds PerCompletion,Passing_Pct,Passing_Pass Yards/G
Arizona St,08/31/2023,Southern Utah,W 24-21,31,18,,236,2,143.30,18.00,13.111,0.581,236.00
Arizona St,09/09/2023,Oklahoma St.,L 15-27,29,16,1,167,1,108.03,16.00,10.438,0.552,167.00
Arizona St,09/16/2023,Fresno St.,L 0-29,37,17,5/,188,,61.60,17.00,11.059,0.459,188.00
Arizona St,09/23/2023,Southern California,L 28-42,39,23,1,263,2,127.42,23.00,11.435,0.590,263.00
Arizona St,09/30/2023,@ California,L 21-24,43,27,1,362,,128.86,27.00,13.407,0.628,362.00
Arizona St,10/07/2023,Colorado,L 24-27,50,32,,335,1,126.88,32.00,10.469,0.640,335.00
Arizona St,10/21/2023,@ Washington,L 7-15,47,26,1,196,,86.09,26.00,7.538,0.553,196.00
Arizona St,10/28/2023,Washington St.,W 38-27,26,19,,274,,161.60,19.00,14.421,0.731,274.00
Arizona St,11/04/2023,@ Utah,L 3-55,29,8,1,40,,32.28,8.00,5.000,0.276,40.00
Arizona St,11/11/2023,@ UCLA,W 17-7,39,22,1,176,1,97.65,22.00,8.000,0.564,176.00
Arizona St,11/18/2023,Oregon,L 13-49,47,25,1,205,,85.57,25.00,8.200,0.532,205.00
Arizona St,11/25/2023,Arizona,L 23-59,23,10,2,82,1,70.38,10.00,8.200,0.435,82.00
