TeamNM,Date,Opponent,Result,Punting_Punts inside 20,Punting_Punts,Punting_Punt Yds,Punting_Punt Avg,Punting_Punt TBs,Punting_Long Punt,Punting_Net Punt Yds
Arizona St,08/31/2023,Southern Utah,W 24-21,,6,200,33.3,,46,202
Arizona St,09/09/2023,Oklahoma St.,L 15-27,1,4,148,37.0,,44,135
Arizona St,09/16/2023,Fresno St.,L 0-29,,3,124,41.3,,50,112
Arizona St,09/23/2023,Southern California,L 28-42,1,3,115,38.3,,53,115
Arizona St,09/30/2023,@ California,L 21-24,,4,145,36.3,,40,145
Arizona St,10/07/2023,Colorado,L 24-27,4,7,303,43.3,,53,254
Arizona St,10/21/2023,@ Washington,L 7-15,2,4,155,38.8,,49,142
Arizona St,10/28/2023,Washington St.,W 38-27,,2,75,37.5,,39,75
Arizona St,11/04/2023,@ Utah,L 3-55,,8,304,38.0,,43,284
Arizona St,11/11/2023,@ UCLA,W 17-7,,6,242,40.3,,50,211
Arizona St,11/18/2023,Oregon,L 13-49,,3,119,39.7,,45,119
Arizona St,11/25/2023,Arizona,L 23-59,,4,165,41.3,,44,153
