TeamNM,Date,Opponent,Result,Receiving_Rec,Receiving_ReceivingYards,Receiving_ReceptionsPer Game,Receiving_Yards PerReception,Receiving_Rec TD,Receiving_Rec Yds/G,Receiving_Long Rec
Arizona St,08/31/2023,Southern Utah,W 24-21,18,236,18.00,13.11,2,236.00,47
Arizona St,09/09/2023,Oklahoma St.,L 15-27,16,167,16.00,10.44,1,167.00,65
Arizona St,09/16/2023,Fresno St.,L 0-29,17,188,17.00,11.06,,188.00,31
Arizona St,09/23/2023,Southern California,L 28-42,23,263,23.00,11.43,2,263.00,52
Arizona St,09/30/2023,@ California,L 21-24,27,362,27.00,13.41,,362.00,66
Arizona St,10/07/2023,Colorado,L 24-27,32,335,32.00,10.47,1,335.00,30
Arizona St,10/21/2023,@ Washington,L 7-15,26,196,26.00,7.54,,196.00,34
Arizona St,10/28/2023,Washington St.,W 38-27,19,274,19.00,14.42,,274.00,50
Arizona St,11/04/2023,@ Utah,L 3-55,8,40,8.00,5.00,,40.00,20
Arizona St,11/11/2023,@ UCLA,W 17-7,22,176,22.00,8.00,1,176.00,30
Arizona St,11/18/2023,Oregon,L 13-49,25,205,25.00,8.20,,205.00,31
Arizona St,11/25/2023,Arizona,L 23-59,10,82,10.00,8.20,1,82.00,31
