TeamNM,Date,Opponent,Result,Rushing_Rush Attempts,Rushing_Rush Net Yards,Rushing_Rush YdsGained,Rushing_Rush YdsLost,Rushing_Yds/Rush,Rushing_RushTDs,Rushing_Rush Yds/G,Rushing_Rush Long
Arizona St,08/31/2023,Southern Utah,W 24-21,34,135,147,12,3.97,1,135.00,17
Arizona St,09/09/2023,Oklahoma St.,L 15-27,34,110,126,16,3.24,1,110.00,17
Arizona St,09/16/2023,Fresno St.,L 0-29,27,42,73,31,1.56,,42.00,11
Arizona St,09/23/2023,Southern California,L 28-42,32,90,136,46,2.81,1,90.00,18
Arizona St,09/30/2023,@ California,L 21-24,29,77,82,5,2.66,2,77.00,15
Arizona St,10/07/2023,Colorado,L 24-27,29,57,96,39,1.97,2,57.00,12
Arizona St,10/21/2023,@ Washington,L 7-15,31,145,152,7,4.68,1,145.00,17
Arizona St,10/28/2023,Washington St.,W 38-27,39,235,239,4,6.03,5,235.00,66
Arizona St,11/04/2023,@ Utah,L 3-55,29,43,75,32,1.48,,43.00,14
Arizona St,11/11/2023,@ UCLA,W 17-7,30,74,125,51,2.47,1,74.00,17
Arizona St,11/18/2023,Oregon,L 13-49,18,111,114,3,6.17,1,111.00,15
Arizona St,11/25/2023,Arizona,L 23-59,42,224,251,27,5.33,2,224.00,39
