TeamNM,Date,Opponent,Result,Sacks_SackUA,Sacks_SackA,Sacks_Sack Yds,Sacks_Sacks
Arizona St,08/31/2023,Southern Utah,W 24-21,,,,
Arizona St,09/09/2023,Oklahoma St.,L 15-27,2,2,15,3.0
Arizona St,09/16/2023,Fresno St.,L 0-29,5,2,67,6.0
Arizona St,09/23/2023,Southern California,L 28-42,2,,14,2.0
Arizona St,09/30/2023,@ California,L 21-24,2,,22,2.0
Arizona St,10/07/2023,Colorado,L 24-27,3,4,48,5.0
Arizona St,10/21/2023,@ Washington,L 7-15,,,,
Arizona St,10/28/2023,Washington St.,W 38-27,2,2,15,3.0
Arizona St,11/04/2023,@ Utah,L 3-55,,2,1,1.0
Arizona St,11/11/2023,@ UCLA,W 17-7,2,2,28,3.0
Arizona St,11/18/2023,Oregon,L 13-49,1,,8,1.0
Arizona St,11/25/2023,Arizona,L 23-59,,,,
