TeamNM,Date,Opponent,Result,Scoring_TDs,Scoring_Kick PAT,Scoring_PAT Att,Scoring_RushPAT,Scoring_Ru2PTAtt,Scoring_ReceivingPAT,Scoring_Pass 2Pt Conv,Scoring_Pass 2PT Att,Scoring_Kick ReturnPAT,Scoring_Fumb RetPAT,Scoring_FG,Scoring_Safeties,Scoring_Points
Arizona St,08/31/2023,Southern Utah,W 24-21,3,3,3,,,,,,,,1,,24
Arizona St,09/09/2023,Oklahoma St.,L 15-27,2,1,1,1,1,,,,,,,,15
Arizona St,09/16/2023,Fresno St.,L 0-29,,,,,,,,,,,,,
Arizona St,09/23/2023,Southern California,L 28-42,3,2,2,1,1,,,,,,2,,28
Arizona St,09/30/2023,@ California,L 21-24,2,1,1,,,1,1,1,,,2,,21
Arizona St,10/07/2023,Colorado,L 24-27,3,3,3,,,,,,,,1,,24
Arizona St,10/21/2023,@ Washington,L 7-15,1,1,1,,,,,,,,,,7
Arizona St,10/28/2023,Washington St.,W 38-27,5,5,5,,,,,,,,1,,38
Arizona St,11/04/2023,@ Utah,L 3-55,,,,,,,,,,,1,,3
Arizona St,11/11/2023,@ UCLA,W 17-7,2,2,2,,,,,,,,1,,17
Arizona St,11/18/2023,Oregon,L 13-49,1,1,1,,,,,,,,2,,13
Arizona St,11/25/2023,Arizona,L 23-59,3,1,1,2/,2/,,,,,,,,23
