TeamNM,Date,Opponent,Result,Tackles_Solo Tack,Tackles_Asst Tack,Tackles_STFL,Tackles_ATFL,Tackles_Tackle Yds,Tackles_Tackles
Arizona St,08/31/2023,Southern Utah,W 24-21,27,28,2,2,5,55
Arizona St,09/09/2023,Oklahoma St.,L 15-27,29,34,4,4,20,63
Arizona St,09/16/2023,Fresno St.,L 0-29,51,30,7,2,75/,81
Arizona St,09/23/2023,Southern California,L 28-42,32,22,4,,20,54
Arizona St,09/30/2023,@ California,L 21-24,25,52,5,6,32,77
Arizona St,10/07/2023,Colorado,L 24-27,38,28,4,10,56,66
Arizona St,10/21/2023,@ Washington,L 7-15,38,6,4,2,15,44
Arizona St,10/28/2023,Washington St.,W 38-27,45,12,7,2,34,57
Arizona St,11/04/2023,@ Utah,L 3-55,35,56,2,4,6,91
Arizona St,11/11/2023,@ UCLA,W 17-7,36,24,2,2,28,60
Arizona St,11/18/2023,Oregon,L 13-49,39,16,3,2,17,55
Arizona St,11/25/2023,Arizona,L 23-59,35,22,2,2,8,57
