TeamNM,Date,Opponent,Result,Total Offense_YDS,Total Offense_T Yds/Play,Total Offense_3rd Att,Total Offense_4th Att,Total Offense_3rd Conv,Total Offense_TOP,Total Offense_Plays,Total Offense_Tot Off,Total Offense_Yds/Play,Total Offense_Rushing First Downs,Total Offense_Passing First Downs,Total Offense_First Downs by Penalty,Total Offense_Penalties,Total Offense_PenaltiesPer Game,Total Offense_Penalty Yards,Total Offense_Penalty YdsPer Game,Total Offense_Total Off  Yards/G
Arizona St,08/31/2023,Southern Utah,W 24-21,371,5.71,13,1,4,29:12,65,371,5.71,8,8,2,9,9.00,100,100.00,
Arizona St,09/09/2023,Oklahoma St.,L 15-27,277,4.40,15,5,6,28:43,63,277,4.40,10,4,1,4,4.00,30,30.00,
Arizona St,09/16/2023,Fresno St.,L 0-29,230,3.59,14,1,5,22:54,64,230,3.59,3,10,2,2,2.00,30,30.00,
Arizona St,09/23/2023,Southern California,L 28-42,353,4.97,16,4,6,31:48,71,353,4.97,8,11,2,4,4.00,26,26.00,
Arizona St,09/30/2023,@ California,L 21-24,439,6.10,14,5,3,30:18,72,439,6.10,3,13,1,4,4.00,30,30.00,
Arizona St,10/07/2023,Colorado,L 24-27,392,4.96,17,3,6,34:48,79,392,4.96,7,16,2,9,9.00,88,88.00,
Arizona St,10/21/2023,@ Washington,L 7-15,341,4.37,17,6/,5,37:29,78,341,4.37,10,8,2,7,7.00,71,71.00,
Arizona St,10/28/2023,Washington St.,W 38-27,509,7.83,11,,8,30:47,65,509,7.83,10,12,3,9,9.00,72,72.00,
Arizona St,11/04/2023,@ Utah,L 3-55,83,1.43,16,4,1,23:27,58,83,1.43,2,2,2,6,6.00,57,57.00,
Arizona St,11/11/2023,@ UCLA,W 17-7,250,3.62,14,2,4,36:54,69,250,3.62,8,9,4,7,7.00,46,46.00,
Arizona St,11/18/2023,Oregon,L 13-49,316,4.86,14,5,3,27:02,65,316,4.86,7,12,1,4,4.00,37,37.00,
Arizona St,11/25/2023,Arizona,L 23-59,306,4.71,9,2,3,29:57,65,306,4.71,14,5,3,3,3.00,30,30.00,
