TeamNM,Date,Opponent,Result,Tackles_Solo Tack,Tackles_Asst Tack,Tackles_STFL,Tackles_ATFL,Tackles_Tackle Yds,Tackles_Tackles
Arizona,09/02/2023,Northern Ariz.,W 38-3,42,34,7,2,25,76
Arizona,09/09/2023,@ Mississippi St.,L 24-31 (1 OT),22,60/,3,6,23,82
Arizona,09/16/2023,UTEP,W 31-10,22,36,5,,31,58
Arizona,09/23/2023,@ Stanford,W 21-20,35,26,7,8,42,61
Arizona,09/30/2023,Washington,L 24-31,32,36,4,2,19,68
Arizona,10/07/2023,@ Southern California,L 41-43 (3 OT),34,18,5,2,29,52
Arizona,10/14/2023,@ Washington St.,W 44-6,30,20,4,,25,50
Arizona,10/28/2023,Oregon St.,W 27-24,34,24,2,2,16,58
Arizona,11/04/2023,UCLA,W 27-10,34,22,4,,24,56
Arizona,11/11/2023,@ Colorado,W 34-31,37,26,3,,27,63
Arizona,11/18/2023,Utah,W 42-18,37,44,6,2,42,81
Arizona,11/25/2023,@ Arizona St.,W 59-23,39,28,7,,32,67
Arizona,12/28/2023,"Oklahoma @San Antonio, TX",W 38-24,41,34,4,2,28,75
