TeamNM,Date,Opponent,Result,Total Offense_YDS,Total Offense_T Yds/Play,Total Offense_3rd Att,Total Offense_4th Att,Total Offense_3rd Conv,Total Offense_TOP,Total Offense_Plays,Total Offense_Tot Off,Total Offense_Yds/Play,Total Offense_Rushing First Downs,Total Offense_Passing First Downs,Total Offense_First Downs by Penalty,Total Offense_Penalties,Total Offense_PenaltiesPer Game,Total Offense_Penalty Yards,Total Offense_Penalty YdsPer Game,Total Offense_Total Off  Yards/G
Arizona,09/02/2023,Northern Ariz.,W 38-3,478,9.02,5,2,1,24:57,53,478,9.02,11,11,1,11,11.00,91,91.00,
Arizona,09/09/2023,@ Mississippi St.,L 24-31 (1 OT),431,5.99,13,3,4,32:22,72,431,5.99,4,16,3,5,5.00,55,55.00,
Arizona,09/16/2023,UTEP,W 31-10,544,8.50,10,,5,30:17,64,544,8.50,12,12,2,6,6.00,34,34.00,
Arizona,09/23/2023,@ Stanford,W 21-20,349,5.21,13,2,6,28:51,67,349,5.21,10,10,,5,5.00,36,36.00,
Arizona,09/30/2023,Washington,L 24-31,342,4.89,12,4,4,30:09,70,342,4.89,8,13,6,8,8.00,60,60.00,
Arizona,10/07/2023,@ Southern California,L 41-43 (3 OT),506,6.57,16,2,8,35:39,77,506,6.57,12,14,2,12,12.00,99,99.00,
Arizona,10/14/2023,@ Washington St.,W 44-6,516,6.45,17,1,10,38:39,80,516,6.45,11,15,,5,5.00,55,55.00,
Arizona,10/28/2023,Oregon St.,W 27-24,363,5.85,11,1,5,30:46,62,363,5.85,10,10,1,4,4.00,20,20.00,
Arizona,11/04/2023,UCLA,W 27-10,429,6.31,16,,11,35:14,68,429,6.31,8,13,2,3,3.00,25,25.00,
Arizona,11/11/2023,@ Colorado,W 34-31,421,6.79,12,,4,24:50,62,421,6.79,7,12,3,8,8.00,87,87.00,
Arizona,11/18/2023,Utah,W 42-18,443,7.77,11,,7,24:26,57,443,7.77,6,14,1,5,5.00,22,22.00,
Arizona,11/25/2023,@ Arizona St.,W 59-23,619,9.38,11,,8,30:03,66,619,9.38,3,21/,,6,6.00,65,65.00,
Arizona,12/28/2023,"Oklahoma @San Antonio, TX",W 38-24,383,5.98,15,,6,31:25,64,383,5.98,4,12,1,4,4.00,40,40.00,
