TeamNM,Date,Opponent,Result,Turnover Margin_Fumbles Recovered,Turnover Margin_FumblesLost,Turnover Margin_Int,Turnover Margin_Interceptions
Arizona,09/02/2023,Northern Ariz.,W 38-3,1,1,,1
Arizona,09/09/2023,@ Mississippi St.,L 24-31 (1 OT),1,1,,4
Arizona,09/16/2023,UTEP,W 31-10,1,1,,
Arizona,09/23/2023,@ Stanford,W 21-20,,,,
Arizona,09/30/2023,Washington,L 24-31,1,,,1
Arizona,10/07/2023,@ Southern California,L 41-43 (3 OT),1,,,1
Arizona,10/14/2023,@ Washington St.,W 44-6,1,,2,
Arizona,10/28/2023,Oregon St.,W 27-24,,,,1
Arizona,11/04/2023,UCLA,W 27-10,,,,1
Arizona,11/11/2023,@ Colorado,W 34-31,,,,
Arizona,11/18/2023,Utah,W 42-18,,,2,
Arizona,11/25/2023,@ Arizona St.,W 59-23,1,,2,1
Arizona,12/28/2023,"Oklahoma @San Antonio, TX",W 38-24,3/,,3,1
