TeamNM,Date,Opponent,Result,All-Purpose Yards_IntYds,All-Purpose Yards_ReceivingYards,All-Purpose Yards_Int,All-Purpose Yards_FRetYds,All-Purpose Yards_Punt Ret Yds,All-Purpose Yards_KO Ret Yds,All-Purpose Yards_APY,All-Purpose Yards_All-Purpose Yards/G,All-Purpose Yards_AP Plays
BYU,09/02/2023,Sam Houston,W 14-0,,145,3,,22,21,300,,63
BYU,09/09/2023,Southern Utah,W 41-16,,348,1,,,87,481,,50
BYU,09/16/2023,@ Arkansas,W 38-31,24,204,1,,11,56,372,,50
BYU,09/23/2023,@ Kansas,L 27-38,,357,,,,25,391,,53
BYU,09/29/2023,Cincinnati,W 35-27,42,225,1,,-1,18,354,,46
BYU,10/14/2023,@ TCU,L 11-44,17,152,2,,,91,351,,54
BYU,10/21/2023,Texas Tech,W 27-14,92,127,3,,-3,6,372,,50
BYU,10/28/2023,@ Texas,L 6-35,20,197,1,,18,105,435,,59
BYU,11/04/2023,@ West Virginia,L 7-37,,210,,,,104,381,,50
BYU,11/11/2023,Iowa St.,L 13-45,,130,,,8,80,406,,58
BYU,11/18/2023,Oklahoma,L 24-31,,173,,,39,,429,,57
BYU,11/25/2023,@ Oklahoma St.,L 34-40 (2 OT),13,197,2,,-2,19,357,,57
