TeamNM,Date,Opponent,Result,Passing_Pass Attempts,Passing_Completions,Passing_Interceptions,Passing_Pass Yards,Passing_PassTDs,Passing_Pass Eff,Passing_Completions Per Game,Passing_Yds PerCompletion,Passing_Pct,Passing_Pass Yards/G,Rushing_Rush Attempts,Rushing_Rush Net Yards,Rushing_Rush YdsGained,Rushing_Rush YdsLost,Rushing_Yds/Rush,Rushing_RushTDs,Rushing_Rush Yds/G,Rushing_Rush Long,Receiving_Rec,Receiving_ReceivingYards,Receiving_ReceptionsPer Game,Receiving_Yards PerReception,Receiving_Rec TD,Receiving_Rec Yds/G,Receiving_Long Rec,Total Offense_YDS,Total Offense_T Yds/Play,Total Offense_3rd Att,Total Offense_4th Att,Total Offense_3rd Conv,Total Offense_TOP,Total Offense_Plays,Total Offense_Tot Off,Total Offense_Yds/Play,Total Offense_Rushing First Downs,Total Offense_Passing First Downs,Total Offense_First Downs by Penalty,Total Offense_Penalties,Total Offense_PenaltiesPer Game,Total Offense_Penalty Yards,Total Offense_Penalty YdsPer Game,Total Offense_Total Off  Yards/G,All-Purpose Yards_IntYds,All-Purpose Yards_ReceivingYards,All-Purpose Yards_Int,All-Purpose Yards_FRetYds,All-Purpose Yards_Punt Ret Yds,All-Purpose Yards_KO Ret Yds,All-Purpose Yards_APY,All-Purpose Yards_All-Purpose Yards/G,All-Purpose Yards_AP Plays,Scoring_TDs,Scoring_Kick PAT,Scoring_PAT Att,Scoring_RushPAT,Scoring_Ru2PTAtt,Scoring_ReceivingPAT,Scoring_Pass 2Pt Conv,Scoring_Pass 2PT Att,Scoring_Kick ReturnPAT,Scoring_Fumb RetPAT,Scoring_FG,Scoring_Safeties,Scoring_Points,Sacks_SackUA,Sacks_SackA,Sacks_Sack Yds,Sacks_Sacks,Tackles_Solo Tack,Tackles_Asst Tack,Tackles_STFL,Tackles_ATFL,Tackles_Tackle Yds,Tackles_Tackles,Passes Defended_IntYds,Passes Defended_PBU,Passes Defended_Int,Passes Defended_Int Ret TDs,Passes Defended_PDef,Fumbles_FF,Fumbles_FRet,Fumbles_FRetTD,Fumbles_FRetYds,Kicking_FGM,Kicking_FGA,Kicking_FG Blocks Allowed,Kicking_Long FGM,Punting_Punts inside 20,Punting_Punts,Punting_Punt Yds,Punting_Punt Avg,Punting_Punt TBs,Punting_Long Punt,Punting_Net Punt Yds,Punt Returns_Punt Ret,Punt Returns_Punt Ret TDs,Punt Returns_Punt Ret Yds,Kickoffs and KO Returns_KO,Kickoffs and KO Returns_KO Yds,Kickoffs and KO Returns_KO TB,Kickoffs and KO Returns_KO Ret,Kickoffs and KO Returns_Kick Ret TDs,Kickoffs and KO Returns_KO Ret Yds,Kickoffs and KO Returns_Net KO Yds.,Kickoffs and KO Returns_fc yds,Redzone_RZScores,Redzone_RZAtt,Redzone_RZPts,Redzone_RZ Rush TD,Redzone_RZ Pass TD,Redzone_RZ FG Made,Redzone_RZEndFGA,Redzone_RZEndFumble,Redzone_RZEndINT,Redzone_RZEndDowns,Redzone_RZEndHalf,Redzone_RZEndGame,Defense_Fumbles Recovered,Defense_Int,Defense_Blkd,Turnover Margin_Fumbles Recovered,Turnover Margin_FumblesLost,Turnover Margin_Int,Turnover Margin_Interceptions
BYU,09/02/2023,Sam Houston,W 14-0,33,20,,145,,97.52,20.0,7.25,0.606,145.0,34,112,131,19,3.29,2.0,112.0,21,20,145,20.0,7.25,,145.0,18,257,3.84,17,3.0,5,31:33,67,257,3.84,6,6,,8,8.0,66,66.0,,,145,3.0,,22.0,21.0,300,,63,2.0,2.0,2.0,,,,,,,,,,14,1.0,,12.0,1.0,24,36,3,6.0,21,60,,4,3.0,,7.0,,,,,,,,,4/,9/,479/,53.2,1,65,442/,5.0,,22.0,3,194,2.0,1.0,,21.0,144,,2,2,14,2.0,,,,,,,,,,3.0,,,,3.0,
BYU,09/09/2023,Southern Utah,W 41-16,32,22,1.0,348,4.0,195.1,22.0,15.818,0.688,348.0,23,46,62,16,2.0,2.0,46.0,17,22,348,22.0,15.82,4.0,348.0,65,394,7.16,10,2.0,3,28:41,55,394,7.16,1,16,1.0,3,3.0,25,25.0,,,348,1.0,,,87.0,481,,50,6.0,5.0,6.0,,,,,,,,,,41,,,,,29,28,2,4.0,4,57,,3,1.0,,4.0,,,,,,,,,2,5,235,47.0,,64,239,1.0,,,7,455,7.0,3.0,,87.0,280,,4,4,27,2.0,2.0,,,,,,,,1.0,1.0,1.0,1.0,,1.0,1.0
BYU,09/16/2023,@ Arkansas,W 38-31,26,14,,204,3.0,157.83,14.0,14.571,0.538,204.0,31,77,110,33,2.48,2.0,77.0,45,14,204,14.0,14.57,3.0,204.0,37,281,4.93,13,,4,24:50,57,281,4.93,4,10,3.0,7,7.0,45,45.0,,24.0,204,1.0,,11.0,56.0,372,,50,5.0,5.0,5.0,,,,,,,,1.0,,38,3.0,2.0,25.0,4.0,31,50,4,4.0,30,81,24.0,3,1.0,,4.0,2.0,,,,1.0,2.0,,43.0,1,7,318,45.4,,54,223,2.0,,11.0,7,452,4.0,2.0,,56.0,278,,4,4,24,1.0,2.0,1.0,1.0,,,,,,1.0,1.0,,1.0,1.0,1.0,
BYU,09/23/2023,@ Kansas,L 27-38,51,30,2.0,357,2.0,122.72,30.0,11.9,0.588,357.0,22,9,48,39,0.41,1.0,9.0,7,30,357,30.0,11.9,2.0,357.0,50,366,5.01,14,4.0,6,30:05,73,366,5.01,1,19,3.0,3,3.0,30,30.0,,,357,,,,25.0,391,,53,3.0,3.0,3.0,,,,,,,,2.0,,27,1.0,,12.0,1.0,43,10,3,2.0,18,53,,2,,,2.0,,,,,2.0,2.0,,34.0,,1,35,35.0,,35,22,,,,6,360,3.0,1.0,,25.0,238,,5,5,27,1.0,2.0,2.0,2.0,,,,,,,,,,1.0,,2.0
BYU,09/29/2023,Cincinnati,W 35-27,25,14,,225,2.0,158.0,14.0,16.071,0.56,225.0,28,70,98,28,2.5,2.0,70.0,29,14,225,14.0,16.07,2.0,225.0,59,295,5.57,11,,4,24:59,53,295,5.57,5,10,2.0,4,4.0,25,25.0,,42.0,225,1.0,,-1.0,18.0,354,,46,5.0,5.0,5.0,,,,,,,,,,35,1.0,,10.0,1.0,38,54,1,2.0,11,92/,42.0,3,1.0,1/,4.0,,,,,,1.0,,,3,6,306,51.0,2/,66,264,1.0,,-1.0,6,390,6.0,2.0,,18.0,240,,1,2,7,1.0,,,1.0,,,,,,1.0,1.0,,1.0,,1.0,
BYU,10/14/2023,@ TCU,L 11-44,34,15,1.0,152,,75.79,15.0,10.133,0.441,152.0,32,91,116,25,2.84,1.0,91.0,19,15,152,15.0,10.13,,152.0,42,243,3.68,14,3.0,2,29:22,66,243,3.68,6,6,3.0,5,5.0,50,50.0,,17.0,152,2.0,,,91.0,351,,54,1.0,,,,,1.0,1.0,1.0,,,1.0,,11,,,,,53,14,1,,1,67,17.0,5,2.0,,7.0,,,,,1.0,1.0,,46.0,2,7,313,44.7,,60,311,1.0,,,3,192,,4.0,,91.0,142,,2,3,11,1.0,,1.0,1.0,,,1,,,,2.0,,,1.0,2.0,1.0
BYU,10/21/2023,Texas Tech,W 27-14,27,15,,127,2.0,119.51,15.0,8.467,0.556,127.0,30,150,165,15,5.0,,150.0,55,15,127,15.0,8.47,2.0,127.0,32,277,4.86,14,,4,29:05,57,277,4.86,8,4,,4,4.0,24,24.0,,92.0,127,3.0,,-3.0,6.0,372,,50,3.0,3.0,3.0,,,,,,,,2.0,,27,,,,,43,34,2,2.0,5,77,92.0,5,3.0,,8.0,1.0,,1/,,2.0,2.0,,41.0,3,8,424,53.0,,70/,341,1.0,,-3.0,6,390,4.0,1.0,,6.0,237,,3,3,17,,2.0,1.0,1.0,,,,,,2.0,3.0,,2.0,,3.0,
BYU,10/28/2023,@ Texas,L 6-35,40,25,2.0,197,,93.87,25.0,7.88,0.625,197.0,26,95,122,27,3.65,,95.0,21,25,197,25.0,7.88,,197.0,47,292,4.42,14,3.0,3,33:06,66,292,4.42,7,8,2.0,3,3.0,20,20.0,,20.0,197,1.0,,18.0,105.0,435,,59,,,,,,,,,,,2.0,,6,1.0,,18.0,1.0,28,42,2,10.0,26,70,20.0,6,1.0,,7.0,2.0,,,,2.0,2.0,,32.0,,5,226,45.2,,55,137,2.0,,18.0,3,195,2.0,5.0,,105.0,124,,2,3,6,,,2.0,2.0,,,1,,,1.0,1.0,,1.0,1.0,1.0,2.0
BYU,11/04/2023,@ West Virginia,L 7-37,42,24,,210,,99.14,24.0,8.75,0.571,210.0,21,67,93,26,3.19,1.0,67.0,10,24,210,24.0,8.75,,210.0,23,277,4.4,11,3.0,3,24:33,63,277,4.4,7,12,1.0,10,10.0,98,98.0,,,210,,,,104.0,381,,50,1.0,1.0,1.0,,,,,,,,,,7,,,,,40,36,1,6.0,5,76,,2,,,2.0,,,,,,1.0,,,3,4,181,45.3,,50,181,,,,2,103,1.0,5.0,,104.0,78,,1,2,7,1.0,,,1.0,,,,,,,,,,1.0,,
BYU,11/11/2023,Iowa St.,L 13-45,28,11,2.0,130,2.0,87.57,11.0,11.818,0.393,130.0,38,188,214,26,4.95,,188.0,36,11,130,11.0,11.82,2.0,130.0,30,318,4.82,11,4.0,1,26:59,66,318,4.82,9,7,2.0,4,4.0,37,37.0,,,130,,,8.0,80.0,406,,58,2.0,1.0,1.0,,,,,1.0,,,,,13,1.0,,9.0,1.0,33,34,4,2.0,13,67,,2,,,2.0,,,,,,,,,,4,218,54.5,1,61,153,4.0,,8.0,3,195,3.0,5.0,,80.0,120,,1,3,7,,1.0,,,,,2/,,,,,,,1.0,,2.0
