TeamNM,Date,Opponent,Result,Defense_Fumbles Recovered,Defense_Int,Defense_Blkd
BYU,09/02/2023,Sam Houston,W 14-0,,3,
BYU,09/09/2023,Southern Utah,W 41-16,1,1,1
BYU,09/16/2023,@ Arkansas,W 38-31,1,1,
BYU,09/23/2023,@ Kansas,L 27-38,,,
BYU,09/29/2023,Cincinnati,W 35-27,1,1,
BYU,10/14/2023,@ TCU,L 11-44,,2,
BYU,10/21/2023,Texas Tech,W 27-14,2,3,
BYU,10/28/2023,@ Texas,L 6-35,1,1,
BYU,11/04/2023,@ West Virginia,L 7-37,,,
BYU,11/11/2023,Iowa St.,L 13-45,,,
BYU,11/18/2023,Oklahoma,L 24-31,,,
BYU,11/25/2023,@ Oklahoma St.,L 34-40 (2 OT),,2,1
