TeamNM,Date,Opponent,Result,Kickoffs and KO Returns_KO,Kickoffs and KO Returns_KO Yds,Kickoffs and KO Returns_KO TB,Kickoffs and KO Returns_KO Ret,Kickoffs and KO Returns_Kick Ret TDs,Kickoffs and KO Returns_KO Ret Yds,Kickoffs and KO Returns_Net KO Yds.,Kickoffs and KO Returns_fc yds
BYU,09/02/2023,Sam Houston,W 14-0,3,194,2,1,,21,144,
BYU,09/09/2023,Southern Utah,W 41-16,7,455,7,3,,87,280,
BYU,09/16/2023,@ Arkansas,W 38-31,7,452,4,2,,56,278,
BYU,09/23/2023,@ Kansas,L 27-38,6,360,3,1,,25,238,
BYU,09/29/2023,Cincinnati,W 35-27,6,390,6,2,,18,240,
BYU,10/14/2023,@ TCU,L 11-44,3,192,,4,,91,142,
BYU,10/21/2023,Texas Tech,W 27-14,6,390,4,1,,6,237,
BYU,10/28/2023,@ Texas,L 6-35,3,195,2,5,,105,124,
BYU,11/04/2023,@ West Virginia,L 7-37,2,103,1,5,,104,78,
BYU,11/11/2023,Iowa St.,L 13-45,3,195,3,5,,80,120,
BYU,11/18/2023,Oklahoma,L 24-31,4,260,2,,,,178,
BYU,11/25/2023,@ Oklahoma St.,L 34-40 (2 OT),5,275,,1,,19,225,
