TeamNM,Date,Opponent,Result,Passes Defended_IntYds,Passes Defended_PBU,Passes Defended_Int,Passes Defended_Int Ret TDs,Passes Defended_PDef
BYU,09/02/2023,Sam Houston,W 14-0,,4,3,,7.00
BYU,09/09/2023,Southern Utah,W 41-16,,3,1,,4.00
BYU,09/16/2023,@ Arkansas,W 38-31,24,3,1,,4.00
BYU,09/23/2023,@ Kansas,L 27-38,,2,,,2.00
BYU,09/29/2023,Cincinnati,W 35-27,42,3,1,1/,4.00
BYU,10/14/2023,@ TCU,L 11-44,17,5,2,,7.00
BYU,10/21/2023,Texas Tech,W 27-14,92,5,3,,8.00
BYU,10/28/2023,@ Texas,L 6-35,20,6,1,,7.00
BYU,11/04/2023,@ West Virginia,L 7-37,,2,,,2.00
BYU,11/11/2023,Iowa St.,L 13-45,,2,,,2.00
BYU,11/18/2023,Oklahoma,L 24-31,,4,,,4.00
BYU,11/25/2023,@ Oklahoma St.,L 34-40 (2 OT),13,4,2,1/,6.00
