TeamNM,Date,Opponent,Result,Passing_Pass Attempts,Passing_Completions,Passing_Interceptions,Passing_Pass Yards,Passing_PassTDs,Passing_Pass Eff,Passing_Completions Per Game,Passing_Yds PerCompletion,Passing_Pct,Passing_Pass Yards/G
BYU,09/02/2023,Sam Houston,W 14-0,33,20,,145,,97.52,20.00,7.250,0.606,145.00
BYU,09/09/2023,Southern Utah,W 41-16,32,22,1,348,4,195.10,22.00,15.818,0.688,348.00
BYU,09/16/2023,@ Arkansas,W 38-31,26,14,,204,3,157.83,14.00,14.571,0.538,204.00
BYU,09/23/2023,@ Kansas,L 27-38,51,30,2,357,2,122.72,30.00,11.900,0.588,357.00
BYU,09/29/2023,Cincinnati,W 35-27,25,14,,225,2,158.00,14.00,16.071,0.560,225.00
BYU,10/14/2023,@ TCU,L 11-44,34,15,1,152,,75.79,15.00,10.133,0.441,152.00
BYU,10/21/2023,Texas Tech,W 27-14,27,15,,127,2,119.51,15.00,8.467,0.556,127.00
BYU,10/28/2023,@ Texas,L 6-35,40,25,2,197,,93.87,25.00,7.880,0.625,197.00
BYU,11/04/2023,@ West Virginia,L 7-37,42,24,,210,,99.14,24.00,8.750,0.571,210.00
BYU,11/11/2023,Iowa St.,L 13-45,28,11,2,130,2,87.57,11.00,11.818,0.393,130.00
BYU,11/18/2023,Oklahoma,L 24-31,26,15,1,173,2,131.28,15.00,11.533,0.577,173.00
BYU,11/25/2023,@ Oklahoma St.,L 34-40 (2 OT),32,15,,197,,98.59,15.00,13.133,0.469,197.00
