TeamNM,Date,Opponent,Result,Punting_Punts inside 20,Punting_Punts,Punting_Punt Yds,Punting_Punt Avg,Punting_Punt TBs,Punting_Long Punt,Punting_Net Punt Yds
BYU,09/02/2023,Sam Houston,W 14-0,4/,9/,479/,53.2,1,65,442/
BYU,09/09/2023,Southern Utah,W 41-16,2,5,235,47.0,,64,239
BYU,09/16/2023,@ Arkansas,W 38-31,1,7,318,45.4,,54,223
BYU,09/23/2023,@ Kansas,L 27-38,,1,35,35.0,,35,22
BYU,09/29/2023,Cincinnati,W 35-27,3,6,306,51.0,2/,66,264
BYU,10/14/2023,@ TCU,L 11-44,2,7,313,44.7,,60,311
BYU,10/21/2023,Texas Tech,W 27-14,3,8,424,53.0,,70/,341
BYU,10/28/2023,@ Texas,L 6-35,,5,226,45.2,,55,137
BYU,11/04/2023,@ West Virginia,L 7-37,3,4,181,45.3,,50,181
BYU,11/11/2023,Iowa St.,L 13-45,,4,218,54.5,1,61,153
BYU,11/18/2023,Oklahoma,L 24-31,3,4,188,47.0,,56,187
BYU,11/25/2023,@ Oklahoma St.,L 34-40 (2 OT),4/,8,366,45.8,1,65,346
