TeamNM,Date,Opponent,Result,Redzone_RZScores,Redzone_RZAtt,Redzone_RZPts,Redzone_RZ Rush TD,Redzone_RZ Pass TD,Redzone_RZ FG Made,Redzone_RZEndFGA,Redzone_RZEndFumble,Redzone_RZEndINT,Redzone_RZEndDowns,Redzone_RZEndHalf,Redzone_RZEndGame
BYU,09/02/2023,Sam Houston,W 14-0,2,2,14,2,,,,,,,,
BYU,09/09/2023,Southern Utah,W 41-16,4,4,27,2,2,,,,,,,
BYU,09/16/2023,@ Arkansas,W 38-31,4,4,24,1,2,1,1,,,,,
BYU,09/23/2023,@ Kansas,L 27-38,5,5,27,1,2,2,2,,,,,
BYU,09/29/2023,Cincinnati,W 35-27,1,2,7,1,,,1,,,,,
BYU,10/14/2023,@ TCU,L 11-44,2,3,11,1,,1,1,,,1,,
BYU,10/21/2023,Texas Tech,W 27-14,3,3,17,,2,1,1,,,,,
BYU,10/28/2023,@ Texas,L 6-35,2,3,6,,,2,2,,,1,,
BYU,11/04/2023,@ West Virginia,L 7-37,1,2,7,1,,,1,,,,,
BYU,11/11/2023,Iowa St.,L 13-45,1,3,7,,1,,,,,2/,,
BYU,11/18/2023,Oklahoma,L 24-31,2,3,14,1,1,,,,1,,,
BYU,11/25/2023,@ Oklahoma St.,L 34-40 (2 OT),3,3,21,3,,,,,,,,
