TeamNM,Date,Opponent,Result,Rushing_Rush Attempts,Rushing_Rush Net Yards,Rushing_Rush YdsGained,Rushing_Rush YdsLost,Rushing_Yds/Rush,Rushing_RushTDs,Rushing_Rush Yds/G,Rushing_Rush Long
BYU,09/02/2023,Sam Houston,W 14-0,34,112,131,19,3.29,2,112.00,21
BYU,09/09/2023,Southern Utah,W 41-16,23,46,62,16,2.00,2,46.00,17
BYU,09/16/2023,@ Arkansas,W 38-31,31,77,110,33,2.48,2,77.00,45
BYU,09/23/2023,@ Kansas,L 27-38,22,9,48,39,0.41,1,9.00,7
BYU,09/29/2023,Cincinnati,W 35-27,28,70,98,28,2.50,2,70.00,29
BYU,10/14/2023,@ TCU,L 11-44,32,91,116,25,2.84,1,91.00,19
BYU,10/21/2023,Texas Tech,W 27-14,30,150,165,15,5.00,,150.00,55
BYU,10/28/2023,@ Texas,L 6-35,26,95,122,27,3.65,,95.00,21
BYU,11/04/2023,@ West Virginia,L 7-37,21,67,93,26,3.19,1,67.00,10
BYU,11/11/2023,Iowa St.,L 13-45,38,188,214,26,4.95,,188.00,36
BYU,11/18/2023,Oklahoma,L 24-31,38,217,249,32,5.71,1,217.00,25
BYU,11/25/2023,@ Oklahoma St.,L 34-40 (2 OT),37,130,151,21,3.51,3,130.00,24
