TeamNM,Date,Opponent,Result,Scoring_TDs,Scoring_Kick PAT,Scoring_PAT Att,Scoring_RushPAT,Scoring_Ru2PTAtt,Scoring_ReceivingPAT,Scoring_Pass 2Pt Conv,Scoring_Pass 2PT Att,Scoring_Kick ReturnPAT,Scoring_Fumb RetPAT,Scoring_FG,Scoring_Safeties,Scoring_Points
BYU,09/02/2023,Sam Houston,W 14-0,2,2,2,,,,,,,,,,14
BYU,09/09/2023,Southern Utah,W 41-16,6,5,6,,,,,,,,,,41
BYU,09/16/2023,@ Arkansas,W 38-31,5,5,5,,,,,,,,1,,38
BYU,09/23/2023,@ Kansas,L 27-38,3,3,3,,,,,,,,2,,27
BYU,09/29/2023,Cincinnati,W 35-27,5,5,5,,,,,,,,,,35
BYU,10/14/2023,@ TCU,L 11-44,1,,,,,1,1,1,,,1,,11
BYU,10/21/2023,Texas Tech,W 27-14,3,3,3,,,,,,,,2,,27
BYU,10/28/2023,@ Texas,L 6-35,,,,,,,,,,,2,,6
BYU,11/04/2023,@ West Virginia,L 7-37,1,1,1,,,,,,,,,,7
BYU,11/11/2023,Iowa St.,L 13-45,2,1,1,,,,,1,,,,,13
BYU,11/18/2023,Oklahoma,L 24-31,3,3,3,,,,,,,,1,,24
BYU,11/25/2023,@ Oklahoma St.,L 34-40 (2 OT),4,4,4,,,,,,,,2,,34
