TeamNM,Date,Opponent,Result,Tackles_Solo Tack,Tackles_Asst Tack,Tackles_STFL,Tackles_ATFL,Tackles_Tackle Yds,Tackles_Tackles
BYU,09/02/2023,Sam Houston,W 14-0,24,36,3,6,21,60
BYU,09/09/2023,Southern Utah,W 41-16,29,28,2,4,4,57
BYU,09/16/2023,@ Arkansas,W 38-31,31,50,4,4,30,81
BYU,09/23/2023,@ Kansas,L 27-38,43,10,3,2,18,53
BYU,09/29/2023,Cincinnati,W 35-27,38,54,1,2,11,92/
BYU,10/14/2023,@ TCU,L 11-44,53,14,1,,1,67
BYU,10/21/2023,Texas Tech,W 27-14,43,34,2,2,5,77
BYU,10/28/2023,@ Texas,L 6-35,28,42,2,10,26,70
BYU,11/04/2023,@ West Virginia,L 7-37,40,36,1,6,5,76
BYU,11/11/2023,Iowa St.,L 13-45,33,34,4,2,13,67
BYU,11/18/2023,Oklahoma,L 24-31,27,40,3,6,25,67
BYU,11/25/2023,@ Oklahoma St.,L 34-40 (2 OT),40,46,2,2,12,86
