TeamNM,Date,Opponent,Result,Total Offense_YDS,Total Offense_T Yds/Play,Total Offense_3rd Att,Total Offense_4th Att,Total Offense_3rd Conv,Total Offense_TOP,Total Offense_Plays,Total Offense_Tot Off,Total Offense_Yds/Play,Total Offense_Rushing First Downs,Total Offense_Passing First Downs,Total Offense_First Downs by Penalty,Total Offense_Penalties,Total Offense_PenaltiesPer Game,Total Offense_Penalty Yards,Total Offense_Penalty YdsPer Game,Total Offense_Total Off  Yards/G
BYU,09/02/2023,Sam Houston,W 14-0,257,3.84,17,3,5,31:33,67,257,3.84,6,6,,8,8.00,66,66.00,
BYU,09/09/2023,Southern Utah,W 41-16,394,7.16,10,2,3,28:41,55,394,7.16,1,16,1,3,3.00,25,25.00,
BYU,09/16/2023,@ Arkansas,W 38-31,281,4.93,13,,4,24:50,57,281,4.93,4,10,3,7,7.00,45,45.00,
BYU,09/23/2023,@ Kansas,L 27-38,366,5.01,14,4,6,30:05,73,366,5.01,1,19,3,3,3.00,30,30.00,
BYU,09/29/2023,Cincinnati,W 35-27,295,5.57,11,,4,24:59,53,295,5.57,5,10,2,4,4.00,25,25.00,
BYU,10/14/2023,@ TCU,L 11-44,243,3.68,14,3,2,29:22,66,243,3.68,6,6,3,5,5.00,50,50.00,
BYU,10/21/2023,Texas Tech,W 27-14,277,4.86,14,,4,29:05,57,277,4.86,8,4,,4,4.00,24,24.00,
BYU,10/28/2023,@ Texas,L 6-35,292,4.42,14,3,3,33:06,66,292,4.42,7,8,2,3,3.00,20,20.00,
BYU,11/04/2023,@ West Virginia,L 7-37,277,4.40,11,3,3,24:33,63,277,4.40,7,12,1,10,10.00,98,98.00,
BYU,11/11/2023,Iowa St.,L 13-45,318,4.82,11,4,1,26:59,66,318,4.82,9,7,2,4,4.00,37,37.00,
BYU,11/18/2023,Oklahoma,L 24-31,390,6.09,14,3,5,31:10,64,390,6.09,10,8,,7,7.00,55,55.00,
BYU,11/25/2023,@ Oklahoma St.,L 34-40 (2 OT),327,4.74,15,1,5,25:30,69,327,4.74,6,7,1,6,6.00,41,41.00,
