TeamNM,Date,Opponent,Result,All-Purpose Yards_IntYds,All-Purpose Yards_ReceivingYards,All-Purpose Yards_Int,All-Purpose Yards_FRetYds,All-Purpose Yards_Punt Ret Yds,All-Purpose Yards_KO Ret Yds,All-Purpose Yards_APY,All-Purpose Yards_All-Purpose Yards/G,All-Purpose Yards_AP Plays
Baylor,09/02/2023,Texas St.,L 31-42,,416,,,6,145,675,,66
Baylor,09/09/2023,Utah,L 13-20,3,218,1,,,52,394,,45
Baylor,09/16/2023,LIU,W 30-7,,121,1,,5,35,431,,66
Baylor,09/23/2023,Texas,L 6-38,,305,,,,15,380,,61
Baylor,09/30/2023,@ UCF,W 36-35,5,293,1,72,18,90,631,,71
Baylor,10/07/2023,Texas Tech,L 14-39,,324,1,,,104,445,,58
Baylor,10/21/2023,@ Cincinnati,W 32-29,,316,,15,52,17,480,,58
Baylor,10/28/2023,Iowa St.,L 18-30,,239,1,,19,47,372,,54
Baylor,11/04/2023,Houston,L 24-25 (1 OT),6,263,2,,,29,448,,67
Baylor,11/11/2023,@ Kansas St.,L 25-59,,247,,,101/,160,593,,69
Baylor,11/18/2023,@ TCU,L 17-42,,199,,10,,23,380,,62
Baylor,11/25/2023,West Virginia,L 31-34,,215,,,,279/,613,,61
