TeamNM,Date,Opponent,Result,Passing_Pass Attempts,Passing_Completions,Passing_Interceptions,Passing_Pass Yards,Passing_PassTDs,Passing_Pass Eff,Passing_Completions Per Game,Passing_Yds PerCompletion,Passing_Pct,Passing_Pass Yards/G,Rushing_Rush Attempts,Rushing_Rush Net Yards,Rushing_Rush YdsGained,Rushing_Rush YdsLost,Rushing_Yds/Rush,Rushing_RushTDs,Rushing_Rush Yds/G,Rushing_Rush Long,Receiving_Rec,Receiving_ReceivingYards,Receiving_ReceptionsPer Game,Receiving_Yards PerReception,Receiving_Rec TD,Receiving_Rec Yds/G,Receiving_Long Rec,Total Offense_YDS,Total Offense_T Yds/Play,Total Offense_3rd Att,Total Offense_4th Att,Total Offense_3rd Conv,Total Offense_TOP,Total Offense_Plays,Total Offense_Tot Off,Total Offense_Yds/Play,Total Offense_Rushing First Downs,Total Offense_Passing First Downs,Total Offense_First Downs by Penalty,Total Offense_Penalties,Total Offense_PenaltiesPer Game,Total Offense_Penalty Yards,Total Offense_Penalty YdsPer Game,Total Offense_Total Off  Yards/G,All-Purpose Yards_IntYds,All-Purpose Yards_ReceivingYards,All-Purpose Yards_Int,All-Purpose Yards_FRetYds,All-Purpose Yards_Punt Ret Yds,All-Purpose Yards_KO Ret Yds,All-Purpose Yards_APY,All-Purpose Yards_All-Purpose Yards/G,All-Purpose Yards_AP Plays,Scoring_TDs,Scoring_Kick PAT,Scoring_PAT Att,Scoring_RushPAT,Scoring_Ru2PTAtt,Scoring_ReceivingPAT,Scoring_Pass 2Pt Conv,Scoring_Pass 2PT Att,Scoring_Kick ReturnPAT,Scoring_Fumb RetPAT,Scoring_FG,Scoring_Safeties,Scoring_Points,Sacks_SackUA,Sacks_SackA,Sacks_Sack Yds,Sacks_Sacks,Tackles_Solo Tack,Tackles_Asst Tack,Tackles_STFL,Tackles_ATFL,Tackles_Tackle Yds,Tackles_Tackles,Passes Defended_IntYds,Passes Defended_PBU,Passes Defended_Int,Passes Defended_Int Ret TDs,Passes Defended_PDef,Fumbles_FF,Fumbles_FRet,Fumbles_FRetTD,Fumbles_FRetYds,Kicking_FGM,Kicking_FGA,Kicking_FG Blocks Allowed,Kicking_Long FGM,Punting_Punts inside 20,Punting_Punts,Punting_Punt Yds,Punting_Punt Avg,Punting_Punt TBs,Punting_Long Punt,Punting_Net Punt Yds,Punt Returns_Punt Ret,Punt Returns_Punt Ret TDs,Punt Returns_Punt Ret Yds,Kickoffs and KO Returns_KO,Kickoffs and KO Returns_KO Yds,Kickoffs and KO Returns_KO TB,Kickoffs and KO Returns_KO Ret,Kickoffs and KO Returns_Kick Ret TDs,Kickoffs and KO Returns_KO Ret Yds,Kickoffs and KO Returns_Net KO Yds.,Kickoffs and KO Returns_fc yds,Redzone_RZScores,Redzone_RZAtt,Redzone_RZPts,Redzone_RZ Rush TD,Redzone_RZ Pass TD,Redzone_RZ FG Made,Redzone_RZEndFGA,Redzone_RZEndFumble,Redzone_RZEndINT,Redzone_RZEndDowns,Redzone_RZEndHalf,Redzone_RZEndGame,Defense_Fumbles Recovered,Defense_Int,Defense_Blkd,Turnover Margin_Fumbles Recovered,Turnover Margin_FumblesLost,Turnover Margin_Int,Turnover Margin_Interceptions
Baylor,09/02/2023,Texas St.,L 31-42,44,27,1.0,416,2.0,151.24,27.0,15.407,0.614,416.0,32,108,146,38,3.38,1.0,108.0,32,27,416,27.0,15.41,2.0,416.0,53,524,6.89,18,4,8,33:48,76,524,6.89,4,16,2.0,9,9.0,45,45.0,,,416,,,6,145,675,,66,3.0,2.0,2.0,,,1,1.0,1,,,3.0,,31,1.0,,1.0,1.0,36,22,4,4.0,8,58,,2.0,,,2.0,2.0,,,,3.0,4.0,,53.0,,2,81,40.5,,51,74,1.0,,6,7,452,5.0,6,,145,276,,4,5,20,1.0,1.0,2.0,2.0,,1.0,,,,2.0,,,2.0,1,,1.0
Baylor,09/09/2023,Utah,L 13-20,28,12,2.0,218,,93.97,12.0,18.167,0.429,218.0,29,121,128,7,4.17,1.0,121.0,16,12,218,12.0,18.17,,218.0,47,339,5.95,11,,3,23:43,57,339,5.95,6,7,1.0,5,5.0,35,35.0,,3.0,218,1.0,,,52,394,,45,1.0,1.0,1.0,,,,,,,,2.0,,13,3.0,,8.0,3.0,42,28,5,2.0,12,70,3.0,7.0,1.0,,8.0,,,,,2.0,3.0,,34.0,1.0,4,186,46.5,,51,158,,,,4,260,3.0,3,,52,161,,3,3,13,1.0,,2.0,2.0,,,,,,,1.0,,,,1.0,2.0
Baylor,09/16/2023,LIU,W 30-7,27,13,,121,1.0,98.01,13.0,9.308,0.481,121.0,48,270,278,8,5.63,3.0,270.0,31,13,121,13.0,9.31,1.0,121.0,22,391,5.21,14,6,6,36:24,75,391,5.21,17,8,1.0,2,2.0,15,15.0,,,121,1.0,,5,35,431,,66,4.0,4.0,4.0,,,,,,,,,1/,30,3.0,,25.0,3.0,23,6,6,,58,29,,2.0,1.0,,3.0,1.0,,,,,,,,,2,94,47.0,1.0,53,74,1.0,,5,5,322,3.0,3,,35,247,,4,4,28,3.0,1.0,,,,,,,,,1.0,1.0,,1,1.0,
Baylor,09/23/2023,Texas,L 6-38,53,29,1.0,305,,99.28,29.0,10.517,0.547,305.0,31,60,95,35,1.94,,60.0,16,29,305,29.0,10.52,,305.0,55,365,4.35,18,5,5,33:30,84,365,4.35,4,14,1.0,4,4.0,21,21.0,,,305,,,,15,380,,61,,,,,,,,,,,2.0,,6,3.0,,15.0,3.0,40,18,5,4.0,24,58,,2.0,,,2.0,,,,,2.0,2.0,,36.0,,4,177,44.3,,52,126,,,,3,169,1.0,1,,15,132,,2,6,6,,,2.0,2.0,,1.0,2/,,1/,2.0,,,2.0,,,1.0
Baylor,09/30/2023,@ UCF,W 36-35,34,21,,293,1.0,143.86,21.0,13.952,0.618,293.0,43,153,208,55/,3.56,2.0,153.0,28,21,293,21.0,13.95,1.0,293.0,43,446,5.79,18,1,10,35:31,77,446,5.79,8,13,1.0,4,4.0,35,35.0,,5.0,293,1.0,72.0,18,90,631,,71,4.0,2.0,2.0,,,2/,2.0,2/,,,2.0,,36,1.0,,4.0,1.0,37,14,4,2.0,10,51,5.0,3.0,1.0,,4.0,,,1/,72.0,2.0,3.0,,30.0,,3,132,44.0,,50,124,2.0,,18,7,423,1.0,4,,90,331,,5,7,29,2.0,1.0,2.0,3.0,1/,,,,,1.0,1.0,1.0,1.0,1,1.0,
Baylor,10/07/2023,Texas Tech,L 14-39,38,22,,324,1.0,138.2,22.0,14.727,0.579,324.0,30,17,69,52,0.57,,17.0,12,22,324,22.0,14.73,1.0,324.0,71,341,5.01,15,6,4,29:56,68,341,5.01,4,12,1.0,1,1.0,10,10.0,,,324,1.0,,,104,445,,58,1.0,,,,,1,1.0,1,,,2.0,,14,1.0,,11.0,1.0,38,22,2,,12,60,,2.0,1.0,,3.0,1.0,,,,2.0,2.0,,33.0,,3,119,39.7,,43,76,,,,3,181,1.0,5,,104,133,,2,3,6,,,2.0,2.0,,,1,,,1.0,1.0,,1.0,1,1.0,
Baylor,10/21/2023,@ Cincinnati,W 32-29,42,25,,316,1.0,130.58,25.0,12.64,0.595,316.0,28,80,114,34,2.86,1.0,80.0,20,25,316,25.0,12.64,1.0,316.0,55,396,5.66,13,2,5,31:13,70,396,5.66,7,14,1.0,5,5.0,20,20.0,,,316,,15.0,52,17,480,,58,3.0,2.0,2.0,,,,,1,,,4.0,,32,1.0,2.0,15.0,2.0,39,38,6,2.0,25,77,,6.0,,,6.0,2.0,,1/,15.0,4.0,4.0,,54.0,1.0,2,99,49.5,,51,99,4.0,,52,8,488,3.0,1,,17,347,,4,4,19,1.0,1.0,2.0,2.0,,,,,,1.0,,,1.0,,,
Baylor,10/28/2023,Iowa St.,L 18-30,41,24,1.0,239,1.0,110.67,24.0,9.958,0.585,239.0,25,67,86,19,2.68,2.0,67.0,18,24,239,24.0,9.96,1.0,239.0,69,306,4.64,14,6,4,26:27,66,306,4.64,5,11,1.0,2,2.0,12,12.0,,,239,1.0,,19,47,372,,54,3.0,,1.0,,1/,,,1,,,,,18,1.0,,9.0,1.0,33,22,3,,15,55,,4.0,1.0,,5.0,1.0,,,,,,,,1.0,4,150,37.5,,47,150,2.0,,19,4,248,,2,,47,221,,2,2,12,2.0,,,,,,,,,1.0,1.0,,1.0,1,1.0,1.0
Baylor,11/04/2023,Houston,L 24-25 (1 OT),37,29,1.0,263,2.0,150.52,29.0,9.069,0.784,263.0,35,150,185,35,4.29,1.0,150.0,27,29,263,29.0,9.07,2.0,263.0,38,413,5.74,13,2,6,33:21,72,413,5.74,8,14,,7,7.0,50,50.0,,6.0,263,2.0,,,29,448,,67,3.0,3.0,3.0,,,,,,,,1.0,,24,1.0,,9.0,1.0,40,10,5,,24,50,6.0,,2.0,,2.0,2.0,,,,1.0,3.0,1.0,27.0,,2,80,40.0,,46,80,,,,4,255,,1,,29,218,,3,5,17,1.0,1.0,1.0,3.0,,,,,,,2.0,,,,2.0,1.0
Baylor,11/11/2023,@ Kansas St.,L 25-59,47,23,1.0,247,4.0,116.91,23.0,10.739,0.489,247.0,35,85,134,49,2.43,,85.0,15,23,247,23.0,10.74,4.0,247.0,63,332,4.05,17,8/,4,31:58,82,332,4.05,7,11,2.0,4,4.0,45,45.0,,,247,,,101/,160,593,,69,4.0,1.0,2.0,,,,,2/,,,,,25,1.0,,10.0,1.0,54,2,2,,12,56,,4.0,,,4.0,,,,,,,,,2.0,4,168,42.0,,46,173,3.0,,101/,4,236,,8,,160,166,,3,3,19,,3.0,,,,,,,,,,,,3/,,1.0
