TeamNM,Date,Opponent,Result,Fumbles_FF,Fumbles_FRet,Fumbles_FRetTD,Fumbles_FRetYds
Baylor,09/02/2023,Texas St.,L 31-42,2,,,
Baylor,09/09/2023,Utah,L 13-20,,,,
Baylor,09/16/2023,LIU,W 30-7,1,,,
Baylor,09/23/2023,Texas,L 6-38,,,,
Baylor,09/30/2023,@ UCF,W 36-35,,,1/,72
Baylor,10/07/2023,Texas Tech,L 14-39,1,,,
Baylor,10/21/2023,@ Cincinnati,W 32-29,2,,1/,15
Baylor,10/28/2023,Iowa St.,L 18-30,1,,,
Baylor,11/04/2023,Houston,L 24-25 (1 OT),2,,,
Baylor,11/11/2023,@ Kansas St.,L 25-59,,,,
Baylor,11/18/2023,@ TCU,L 17-42,1,,,10
Baylor,11/25/2023,West Virginia,L 31-34,,,,
