TeamNM,Date,Opponent,Result,Kicking_FGM,Kicking_FGA,Kicking_FG Blocks Allowed,Kicking_Long FGM
Baylor,09/02/2023,Texas St.,L 31-42,3,4,,53
Baylor,09/09/2023,Utah,L 13-20,2,3,,34
Baylor,09/16/2023,LIU,W 30-7,,,,
Baylor,09/23/2023,Texas,L 6-38,2,2,,36
Baylor,09/30/2023,@ UCF,W 36-35,2,3,,30
Baylor,10/07/2023,Texas Tech,L 14-39,2,2,,33
Baylor,10/21/2023,@ Cincinnati,W 32-29,4,4,,54
Baylor,10/28/2023,Iowa St.,L 18-30,,,,
Baylor,11/04/2023,Houston,L 24-25 (1 OT),1,3,1,27
Baylor,11/11/2023,@ Kansas St.,L 25-59,,,,
Baylor,11/18/2023,@ TCU,L 17-42,1,1,,48
Baylor,11/25/2023,West Virginia,L 31-34,1,3,,39
