TeamNM,Date,Opponent,Result,Kickoffs and KO Returns_KO,Kickoffs and KO Returns_KO Yds,Kickoffs and KO Returns_KO TB,Kickoffs and KO Returns_KO Ret,Kickoffs and KO Returns_Kick Ret TDs,Kickoffs and KO Returns_KO Ret Yds,Kickoffs and KO Returns_Net KO Yds.,Kickoffs and KO Returns_fc yds
Baylor,09/02/2023,Texas St.,L 31-42,7,452,5,6,,145,276,
Baylor,09/09/2023,Utah,L 13-20,4,260,3,3,,52,161,
Baylor,09/16/2023,LIU,W 30-7,5,322,3,3,,35,247,
Baylor,09/23/2023,Texas,L 6-38,3,169,1,1,,15,132,
Baylor,09/30/2023,@ UCF,W 36-35,7,423,1,4,,90,331,
Baylor,10/07/2023,Texas Tech,L 14-39,3,181,1,5,,104,133,
Baylor,10/21/2023,@ Cincinnati,W 32-29,8,488,3,1,,17,347,
Baylor,10/28/2023,Iowa St.,L 18-30,4,248,,2,,47,221,
Baylor,11/04/2023,Houston,L 24-25 (1 OT),4,255,,1,,29,218,
Baylor,11/11/2023,@ Kansas St.,L 25-59,4,236,,8,,160,166,
Baylor,11/18/2023,@ TCU,L 17-42,4,260,,1,,23,175,
Baylor,11/25/2023,West Virginia,L 31-34,6,364,,7,2/,279/,297,
