TeamNM,Date,Opponent,Result,Passes Defended_IntYds,Passes Defended_PBU,Passes Defended_Int,Passes Defended_Int Ret TDs,Passes Defended_PDef
Baylor,09/02/2023,Texas St.,L 31-42,,2,,,2.00
Baylor,09/09/2023,Utah,L 13-20,3,7,1,,8.00
Baylor,09/16/2023,LIU,W 30-7,,2,1,,3.00
Baylor,09/23/2023,Texas,L 6-38,,2,,,2.00
Baylor,09/30/2023,@ UCF,W 36-35,5,3,1,,4.00
Baylor,10/07/2023,Texas Tech,L 14-39,,2,1,,3.00
Baylor,10/21/2023,@ Cincinnati,W 32-29,,6,,,6.00
Baylor,10/28/2023,Iowa St.,L 18-30,,4,1,,5.00
Baylor,11/04/2023,Houston,L 24-25 (1 OT),6,,2,,2.00
Baylor,11/11/2023,@ Kansas St.,L 25-59,,4,,,4.00
Baylor,11/18/2023,@ TCU,L 17-42,,4,,,4.00
Baylor,11/25/2023,West Virginia,L 31-34,,4,,,4.00
