TeamNM,Date,Opponent,Result,Passing_Pass Attempts,Passing_Completions,Passing_Interceptions,Passing_Pass Yards,Passing_PassTDs,Passing_Pass Eff,Passing_Completions Per Game,Passing_Yds PerCompletion,Passing_Pct,Passing_Pass Yards/G
Baylor,09/02/2023,Texas St.,L 31-42,44,27,1,416,2,151.24,27.00,15.407,0.614,416.00
Baylor,09/09/2023,Utah,L 13-20,28,12,2,218,,93.97,12.00,18.167,0.429,218.00
Baylor,09/16/2023,LIU,W 30-7,27,13,,121,1,98.01,13.00,9.308,0.481,121.00
Baylor,09/23/2023,Texas,L 6-38,53,29,1,305,,99.28,29.00,10.517,0.547,305.00
Baylor,09/30/2023,@ UCF,W 36-35,34,21,,293,1,143.86,21.00,13.952,0.618,293.00
Baylor,10/07/2023,Texas Tech,L 14-39,38,22,,324,1,138.20,22.00,14.727,0.579,324.00
Baylor,10/21/2023,@ Cincinnati,W 32-29,42,25,,316,1,130.58,25.00,12.640,0.595,316.00
Baylor,10/28/2023,Iowa St.,L 18-30,41,24,1,239,1,110.67,24.00,9.958,0.585,239.00
Baylor,11/04/2023,Houston,L 24-25 (1 OT),37,29,1,263,2,150.52,29.00,9.069,0.784,263.00
Baylor,11/11/2023,@ Kansas St.,L 25-59,47,23,1,247,4,116.91,23.00,10.739,0.489,247.00
Baylor,11/18/2023,@ TCU,L 17-42,31,21,,199,1,132.31,21.00,9.476,0.677,199.00
Baylor,11/25/2023,West Virginia,L 31-34,20,17,,215,1,191.80,17.00,12.647,0.850,215.00
