TeamNM,Date,Opponent,Result,Punt Returns_Punt Ret,Punt Returns_Punt Ret TDs,Punt Returns_Punt Ret Yds
Baylor,09/02/2023,Texas St.,L 31-42,1,,6
Baylor,09/09/2023,Utah,L 13-20,,,
Baylor,09/16/2023,LIU,W 30-7,1,,5
Baylor,09/23/2023,Texas,L 6-38,,,
Baylor,09/30/2023,@ UCF,W 36-35,2,,18
Baylor,10/07/2023,Texas Tech,L 14-39,,,
Baylor,10/21/2023,@ Cincinnati,W 32-29,4,,52
Baylor,10/28/2023,Iowa St.,L 18-30,2,,19
Baylor,11/04/2023,Houston,L 24-25 (1 OT),,,
Baylor,11/11/2023,@ Kansas St.,L 25-59,3,,101/
Baylor,11/18/2023,@ TCU,L 17-42,,,
Baylor,11/25/2023,West Virginia,L 31-34,,,
