TeamNM,Date,Opponent,Result,Punting_Punts inside 20,Punting_Punts,Punting_Punt Yds,Punting_Punt Avg,Punting_Punt TBs,Punting_Long Punt,Punting_Net Punt Yds
Baylor,09/02/2023,Texas St.,L 31-42,,2,81,40.5,,51,74
Baylor,09/09/2023,Utah,L 13-20,1,4,186,46.5,,51,158
Baylor,09/16/2023,LIU,W 30-7,,2,94,47.0,1,53,74
Baylor,09/23/2023,Texas,L 6-38,,4,177,44.3,,52,126
Baylor,09/30/2023,@ UCF,W 36-35,,3,132,44.0,,50,124
Baylor,10/07/2023,Texas Tech,L 14-39,,3,119,39.7,,43,76
Baylor,10/21/2023,@ Cincinnati,W 32-29,1,2,99,49.5,,51,99
Baylor,10/28/2023,Iowa St.,L 18-30,1,4,150,37.5,,47,150
Baylor,11/04/2023,Houston,L 24-25 (1 OT),,2,80,40.0,,46,80
Baylor,11/11/2023,@ Kansas St.,L 25-59,2,4,168,42.0,,46,173
Baylor,11/18/2023,@ TCU,L 17-42,,2,92,46.0,,49,53
Baylor,11/25/2023,West Virginia,L 31-34,2,3,123,41.0,,49,123
