TeamNM,Date,Opponent,Result,Receiving_Rec,Receiving_ReceivingYards,Receiving_ReceptionsPer Game,Receiving_Yards PerReception,Receiving_Rec TD,Receiving_Rec Yds/G,Receiving_Long Rec
Baylor,09/02/2023,Texas St.,L 31-42,27,416,27.00,15.41,2,416.00,53
Baylor,09/09/2023,Utah,L 13-20,12,218,12.00,18.17,,218.00,47
Baylor,09/16/2023,LIU,W 30-7,13,121,13.00,9.31,1,121.00,22
Baylor,09/23/2023,Texas,L 6-38,29,305,29.00,10.52,,305.00,55
Baylor,09/30/2023,@ UCF,W 36-35,21,293,21.00,13.95,1,293.00,43
Baylor,10/07/2023,Texas Tech,L 14-39,22,324,22.00,14.73,1,324.00,71
Baylor,10/21/2023,@ Cincinnati,W 32-29,25,316,25.00,12.64,1,316.00,55
Baylor,10/28/2023,Iowa St.,L 18-30,24,239,24.00,9.96,1,239.00,69
Baylor,11/04/2023,Houston,L 24-25 (1 OT),29,263,29.00,9.07,2,263.00,38
Baylor,11/11/2023,@ Kansas St.,L 25-59,23,247,23.00,10.74,4,247.00,63
Baylor,11/18/2023,@ TCU,L 17-42,21,199,21.00,9.48,1,199.00,48
Baylor,11/25/2023,West Virginia,L 31-34,17,215,17.00,12.65,1,215.00,38
