TeamNM,Date,Opponent,Result,Redzone_RZScores,Redzone_RZAtt,Redzone_RZPts,Redzone_RZ Rush TD,Redzone_RZ Pass TD,Redzone_RZ FG Made,Redzone_RZEndFGA,Redzone_RZEndFumble,Redzone_RZEndINT,Redzone_RZEndDowns,Redzone_RZEndHalf,Redzone_RZEndGame
Baylor,09/02/2023,Texas St.,L 31-42,4,5,20,1,1,2,2,,1,,,
Baylor,09/09/2023,Utah,L 13-20,3,3,13,1,,2,2,,,,,
Baylor,09/16/2023,LIU,W 30-7,4,4,28,3,1,,,,,,,
Baylor,09/23/2023,Texas,L 6-38,2,6,6,,,2,2,,1,2/,,1/
Baylor,09/30/2023,@ UCF,W 36-35,5,7,29,2,1,2,3,1/,,,,
Baylor,10/07/2023,Texas Tech,L 14-39,2,3,6,,,2,2,,,1,,
Baylor,10/21/2023,@ Cincinnati,W 32-29,4,4,19,1,1,2,2,,,,,
Baylor,10/28/2023,Iowa St.,L 18-30,2,2,12,2,,,,,,,,
Baylor,11/04/2023,Houston,L 24-25 (1 OT),3,5,17,1,1,1,3,,,,,
Baylor,11/11/2023,@ Kansas St.,L 25-59,3,3,19,,3,,,,,,,
Baylor,11/18/2023,@ TCU,L 17-42,2,3,14,1,1,,,,,1,,
Baylor,11/25/2023,West Virginia,L 31-34,1,2,7,1,,,1,,,,,
