TeamNM,Date,Opponent,Result,Rushing_Rush Attempts,Rushing_Rush Net Yards,Rushing_Rush YdsGained,Rushing_Rush YdsLost,Rushing_Yds/Rush,Rushing_RushTDs,Rushing_Rush Yds/G,Rushing_Rush Long
Baylor,09/02/2023,Texas St.,L 31-42,32,108,146,38,3.38,1,108.00,32
Baylor,09/09/2023,Utah,L 13-20,29,121,128,7,4.17,1,121.00,16
Baylor,09/16/2023,LIU,W 30-7,48,270,278,8,5.63,3,270.00,31
Baylor,09/23/2023,Texas,L 6-38,31,60,95,35,1.94,,60.00,16
Baylor,09/30/2023,@ UCF,W 36-35,43,153,208,55/,3.56,2,153.00,28
Baylor,10/07/2023,Texas Tech,L 14-39,30,17,69,52,0.57,,17.00,12
Baylor,10/21/2023,@ Cincinnati,W 32-29,28,80,114,34,2.86,1,80.00,20
Baylor,10/28/2023,Iowa St.,L 18-30,25,67,86,19,2.68,2,67.00,18
Baylor,11/04/2023,Houston,L 24-25 (1 OT),35,150,185,35,4.29,1,150.00,27
Baylor,11/11/2023,@ Kansas St.,L 25-59,35,85,134,49,2.43,,85.00,15
Baylor,11/18/2023,@ TCU,L 17-42,40,148,159,11,3.70,1,148.00,15
Baylor,11/25/2023,West Virginia,L 31-34,37,119,147,28,3.22,1,119.00,19
