TeamNM,Date,Opponent,Result,Sacks_SackUA,Sacks_SackA,Sacks_Sack Yds,Sacks_Sacks
Baylor,09/02/2023,Texas St.,L 31-42,1,,1,1.0
Baylor,09/09/2023,Utah,L 13-20,3,,8,3.0
Baylor,09/16/2023,LIU,W 30-7,3,,25,3.0
Baylor,09/23/2023,Texas,L 6-38,3,,15,3.0
Baylor,09/30/2023,@ UCF,W 36-35,1,,4,1.0
Baylor,10/07/2023,Texas Tech,L 14-39,1,,11,1.0
Baylor,10/21/2023,@ Cincinnati,W 32-29,1,2,15,2.0
Baylor,10/28/2023,Iowa St.,L 18-30,1,,9,1.0
Baylor,11/04/2023,Houston,L 24-25 (1 OT),1,,9,1.0
Baylor,11/11/2023,@ Kansas St.,L 25-59,1,,10,1.0
Baylor,11/18/2023,@ TCU,L 17-42,1,,3,1.0
Baylor,11/25/2023,West Virginia,L 31-34,,,,
