TeamNM,Date,Opponent,Result,Scoring_TDs,Scoring_Kick PAT,Scoring_PAT Att,Scoring_RushPAT,Scoring_Ru2PTAtt,Scoring_ReceivingPAT,Scoring_Pass 2Pt Conv,Scoring_Pass 2PT Att,Scoring_Kick ReturnPAT,Scoring_Fumb RetPAT,Scoring_FG,Scoring_Safeties,Scoring_Points
Baylor,09/02/2023,Texas St.,L 31-42,3,2,2,,,1,1,1,,,3,,31
Baylor,09/09/2023,Utah,L 13-20,1,1,1,,,,,,,,2,,13
Baylor,09/16/2023,LIU,W 30-7,4,4,4,,,,,,,,,1/,30
Baylor,09/23/2023,Texas,L 6-38,,,,,,,,,,,2,,6
Baylor,09/30/2023,@ UCF,W 36-35,4,2,2,,,2/,2,2/,,,2,,36
Baylor,10/07/2023,Texas Tech,L 14-39,1,,,,,1,1,1,,,2,,14
Baylor,10/21/2023,@ Cincinnati,W 32-29,3,2,2,,,,,1,,,4,,32
Baylor,10/28/2023,Iowa St.,L 18-30,3,,1,,1/,,,1,,,,,18
Baylor,11/04/2023,Houston,L 24-25 (1 OT),3,3,3,,,,,,,,1,,24
Baylor,11/11/2023,@ Kansas St.,L 25-59,4,1,2,,,,,2/,,,,,25
Baylor,11/18/2023,@ TCU,L 17-42,2,2,2,,,,,,,,1,,17
Baylor,11/25/2023,West Virginia,L 31-34,4,4,4,,,,,,,,1,,31
