TeamNM,Date,Opponent,Result,Tackles_Solo Tack,Tackles_Asst Tack,Tackles_STFL,Tackles_ATFL,Tackles_Tackle Yds,Tackles_Tackles
Baylor,09/02/2023,Texas St.,L 31-42,36,22,4,4,8,58
Baylor,09/09/2023,Utah,L 13-20,42,28,5,2,12,70
Baylor,09/16/2023,LIU,W 30-7,23,6,6,,58,29
Baylor,09/23/2023,Texas,L 6-38,40,18,5,4,24,58
Baylor,09/30/2023,@ UCF,W 36-35,37,14,4,2,10,51
Baylor,10/07/2023,Texas Tech,L 14-39,38,22,2,,12,60
Baylor,10/21/2023,@ Cincinnati,W 32-29,39,38,6,2,25,77
Baylor,10/28/2023,Iowa St.,L 18-30,33,22,3,,15,55
Baylor,11/04/2023,Houston,L 24-25 (1 OT),40,10,5,,24,50
Baylor,11/11/2023,@ Kansas St.,L 25-59,54,2,2,,12,56
Baylor,11/18/2023,@ TCU,L 17-42,35,36,5,,29,71
Baylor,11/25/2023,West Virginia,L 31-34,34,22,4,2,17,56
