TeamNM,Date,Opponent,Result,Total Offense_YDS,Total Offense_T Yds/Play,Total Offense_3rd Att,Total Offense_4th Att,Total Offense_3rd Conv,Total Offense_TOP,Total Offense_Plays,Total Offense_Tot Off,Total Offense_Yds/Play,Total Offense_Rushing First Downs,Total Offense_Passing First Downs,Total Offense_First Downs by Penalty,Total Offense_Penalties,Total Offense_PenaltiesPer Game,Total Offense_Penalty Yards,Total Offense_Penalty YdsPer Game,Total Offense_Total Off  Yards/G
Baylor,09/02/2023,Texas St.,L 31-42,524,6.89,18,4,8,33:48,76,524,6.89,4,16,2,9,9.00,45,45.00,
Baylor,09/09/2023,Utah,L 13-20,339,5.95,11,,3,23:43,57,339,5.95,6,7,1,5,5.00,35,35.00,
Baylor,09/16/2023,LIU,W 30-7,391,5.21,14,6,6,36:24,75,391,5.21,17,8,1,2,2.00,15,15.00,
Baylor,09/23/2023,Texas,L 6-38,365,4.35,18,5,5,33:30,84,365,4.35,4,14,1,4,4.00,21,21.00,
Baylor,09/30/2023,@ UCF,W 36-35,446,5.79,18,1,10,35:31,77,446,5.79,8,13,1,4,4.00,35,35.00,
Baylor,10/07/2023,Texas Tech,L 14-39,341,5.01,15,6,4,29:56,68,341,5.01,4,12,1,1,1.00,10,10.00,
Baylor,10/21/2023,@ Cincinnati,W 32-29,396,5.66,13,2,5,31:13,70,396,5.66,7,14,1,5,5.00,20,20.00,
Baylor,10/28/2023,Iowa St.,L 18-30,306,4.64,14,6,4,26:27,66,306,4.64,5,11,1,2,2.00,12,12.00,
Baylor,11/04/2023,Houston,L 24-25 (1 OT),413,5.74,13,2,6,33:21,72,413,5.74,8,14,,7,7.00,50,50.00,
Baylor,11/11/2023,@ Kansas St.,L 25-59,332,4.05,17,8/,4,31:58,82,332,4.05,7,11,2,4,4.00,45,45.00,
Baylor,11/18/2023,@ TCU,L 17-42,347,4.89,14,6,5,33:28,71,347,4.89,10,10,,1,1.00,9,9.00,
Baylor,11/25/2023,West Virginia,L 31-34,334,5.86,12,2,4,31:05,57,334,5.86,7,9,1,5,5.00,50,50.00,
