TeamNM,Date,Opponent,Result,Passing_Pass Attempts,Passing_Completions,Passing_Interceptions,Passing_Pass Yards,Passing_PassTDs,Passing_Pass Eff,Passing_Completions Per Game,Passing_Yds PerCompletion,Passing_Pct,Passing_Pass Yards/G,Rushing_Rush Attempts,Rushing_Rush Net Yards,Rushing_Rush YdsGained,Rushing_Rush YdsLost,Rushing_Yds/Rush,Rushing_RushTDs,Rushing_Rush Yds/G,Rushing_Rush Long,Receiving_Rec,Receiving_ReceivingYards,Receiving_ReceptionsPer Game,Receiving_Yards PerReception,Receiving_Rec TD,Receiving_Rec Yds/G,Receiving_Long Rec,Total Offense_YDS,Total Offense_T Yds/Play,Total Offense_3rd Att,Total Offense_4th Att,Total Offense_3rd Conv,Total Offense_TOP,Total Offense_Plays,Total Offense_Tot Off,Total Offense_Yds/Play,Total Offense_Rushing First Downs,Total Offense_Passing First Downs,Total Offense_First Downs by Penalty,Total Offense_Penalties,Total Offense_PenaltiesPer Game,Total Offense_Penalty Yards,Total Offense_Penalty YdsPer Game,Total Offense_Total Off  Yards/G,All-Purpose Yards_IntYds,All-Purpose Yards_ReceivingYards,All-Purpose Yards_Int,All-Purpose Yards_FRetYds,All-Purpose Yards_Punt Ret Yds,All-Purpose Yards_KO Ret Yds,All-Purpose Yards_APY,All-Purpose Yards_All-Purpose Yards/G,All-Purpose Yards_AP Plays,Scoring_TDs,Scoring_Kick PAT,Scoring_PAT Att,Scoring_RushPAT,Scoring_Ru2PTAtt,Scoring_ReceivingPAT,Scoring_Pass 2Pt Conv,Scoring_Pass 2PT Att,Scoring_Kick ReturnPAT,Scoring_Fumb RetPAT,Scoring_FG,Scoring_Safeties,Scoring_Points,Sacks_SackUA,Sacks_SackA,Sacks_Sack Yds,Sacks_Sacks,Tackles_Solo Tack,Tackles_Asst Tack,Tackles_STFL,Tackles_ATFL,Tackles_Tackle Yds,Tackles_Tackles,Passes Defended_IntYds,Passes Defended_PBU,Passes Defended_Int,Passes Defended_Int Ret TDs,Passes Defended_PDef,Fumbles_FF,Fumbles_FRet,Fumbles_FRetTD,Fumbles_FRetYds,Kicking_FGM,Kicking_FGA,Kicking_FG Blocks Allowed,Kicking_Long FGM,Punting_Punts inside 20,Punting_Punts,Punting_Punt Yds,Punting_Punt Avg,Punting_Punt TBs,Punting_Long Punt,Punting_Net Punt Yds,Punt Returns_Punt Ret,Punt Returns_Punt Ret TDs,Punt Returns_Punt Ret Yds,Kickoffs and KO Returns_KO,Kickoffs and KO Returns_KO Yds,Kickoffs and KO Returns_KO TB,Kickoffs and KO Returns_KO Ret,Kickoffs and KO Returns_Kick Ret TDs,Kickoffs and KO Returns_KO Ret Yds,Kickoffs and KO Returns_Net KO Yds.,Kickoffs and KO Returns_fc yds,Redzone_RZScores,Redzone_RZAtt,Redzone_RZPts,Redzone_RZ Rush TD,Redzone_RZ Pass TD,Redzone_RZ FG Made,Redzone_RZEndFGA,Redzone_RZEndFumble,Redzone_RZEndINT,Redzone_RZEndDowns,Redzone_RZEndHalf,Redzone_RZEndGame,Defense_Fumbles Recovered,Defense_Int,Defense_Blkd,Turnover Margin_Fumbles Recovered,Turnover Margin_FumblesLost,Turnover Margin_Int,Turnover Margin_Interceptions
Cincinnati,09/02/2023,Eastern Ky.,W 66-13,27,23,,438,6/,294.79,23.0,19.043,0.852,438.0,44,229,249,20.0,5.2,3.0,229.0,54,23,438,23.0,19.04,6/,438.0,65,667,9.39,14,2,10,31:46,71,667,9.39,13,17,,7,7.0,55,55.0,,6.0,438,2.0,,34.0,42.0,749,,75,9.0,9.0,9.0,,,,,,,,1.0,,66,2.0,2.0,19.0,3.0,32,36,5,4.0,32,68,6.0,2,2.0,,4.0,2.0,,,,1.0,1.0,,46.0,1,1,45,45.0,,45,45,4.0,,34.0,11,692,4.0,2.0,,42.0,474,,6.0,6,38.0,3.0,2.0,1.0,1.0,,,,,,1.0,2.0,,1.0,1.0,2.0,
Cincinnati,09/09/2023,@ Pittsburgh,W 27-21,27,19,1.0,155,2,135.63,19.0,8.158,0.704,155.0,42,216,229,13.0,5.14,1.0,216.0,68,19,155,19.0,8.16,2,155.0,30,371,5.38,16,2,6,34:43,69,371,5.38,9,10,1.0,7,7.0,90,90.0,,,155,,,5.0,15.0,391,,64,3.0,3.0,3.0,,,,,,,,2.0,,27,4.0,2.0,38.0,5.0,26,24,7,2.0,46,50,,9,,,9.0,1.0,,,,2.0,2.0,,47.0,2,5,198,39.6,,47,190,2.0,,5.0,6,357,4.0,1.0,,15.0,229,,3.0,3,17.0,1.0,1.0,1.0,1.0,,,,,,1.0,,,1.0,,,1.0
Cincinnati,09/16/2023,Miami (OH),L 24-31 (1 OT),34,18,2.0,265,,106.65,18.0,14.722,0.529,265.0,57/,273,298,25.0,4.79,2.0,273.0,27,18,265,18.0,14.72,,265.0,37,538,5.91,17,3,8,36:18,91,538,5.91,13,14,3.0,10,10.0,78,78.0,,33.0,265,1.0,,,31.0,602,,80,2.0,1.0,1.0,,,1.0,1.0,1.0,,,3.0,,24,2.0,,12.0,2.0,23,28,4,2.0,19,51,33.0,1,1.0,,2.0,1.0,,,,3.0,4.0,1.0,28.0,2,2,88,44.0,,52,88,2.0,,,6,365,3.0,2.0,,31.0,242,,5.0,8,24.0,2.0,,3.0,4.0,,1.0,1,,,1.0,1.0,,1.0,,1.0,2.0
Cincinnati,09/23/2023,Oklahoma,L 6-20,42,22,2.0,235,,89.86,22.0,10.682,0.524,235.0,37,141,161,20.0,3.81,,141.0,20,22,235,22.0,10.68,,235.0,35,376,4.76,15,4,3,32:25,79,376,4.76,8,12,1.0,2,2.0,20,20.0,,,235,,,2.0,,378,,61,,,,,,,,,,,2.0,,6,2.0,,14.0,2.0,32,42,6,,22,74,,5,,,5.0,1.0,,,,2.0,3.0,,54.0,3,4,193,48.3,,57,186,2.0,,2.0,3,185,2.0,,,,126,,,2,,,,,1.0,,,1,,,1.0,,,1.0,,,2.0
Cincinnati,09/29/2023,@ BYU,L 27-35,37,23,1.0,256,3,141.63,23.0,11.13,0.622,256.0,47,242,253,11.0,5.15,,242.0,20,23,256,23.0,11.13,3,256.0,31,498,5.93,18,3,9,35:01,84,498,5.93,13,13,,7,7.0,63,63.0,,,256,,,2.0,,500,,72,3.0,3.0,3.0,,,,,,,,2.0,,27,,,,,21,30,3,8.0,12,51,,3,,,3.0,,,,,2.0,2.0,,33.0,1,3,125,41.7,,46,126,2.0,,2.0,6,333,3.0,,,,240,,2.0,2,6.0,,,2.0,2.0,,,,,,,,,,1.0,,1.0
Cincinnati,10/14/2023,Iowa St.,L 10-30,29,15,2.0,99,1,77.99,15.0,6.6,0.517,99.0,33,115,134,19.0,3.48,,115.0,14,15,99,15.0,6.6,1,99.0,20,214,3.45,13,3,3,26:20,62,214,3.45,7,5,3.0,6,6.0,49,49.0,,,99,,,,38.0,252,,50,1.0,1.0,1.0,,,,,,,,1.0,,10,2.0,,8.0,2.0,30,34,4,,11,64,,3,,,3.0,,,,,1.0,1.0,,36.0,3,5,234,46.8,,50,231,,,,3,149,,2.0,,38.0,39,,2.0,2,10.0,,1.0,1.0,1.0,,,,,,,,,,,,2.0
Cincinnati,10/21/2023,Baylor,L 29-32,31,19,,162,2,126.48,19.0,8.526,0.613,162.0,43,288,312,24.0,6.7,2.0,288.0,40,19,162,19.0,8.53,2,162.0,30,450,6.08,15,4,7,28:47,74,450,6.08,12,9,,4,4.0,40,40.0,,,162,,,,66.0,516,,65,4.0,3.0,3.0,,,1.0,1.0,1.0,,,,,29,3.0,,19.0,3.0,33,34,7,6.0,36,67,,5,,,5.0,,,,,,,,,1,4,182,45.5,,50,130,,,,5,320,3.0,3.0,,66.0,228,,2.0,4,14.0,1.0,1.0,,,,,2/,,,,,,,1.0,,
Cincinnati,10/28/2023,@ Oklahoma St.,L 13-45,25,11,1.0,165,1,104.64,11.0,15.0,0.44,165.0,50,277,294,17.0,5.54,1.0,277.0,63,11,165,11.0,15.0,1,165.0,53,442,5.89,16,2,6,30:33,75,442,5.89,12,7,1.0,4,4.0,50,50.0,,,165,1.0,,5.0,20.0,467,,64,2.0,1.0,1.0,,1/,,,,,,,,13,,,,,36,26,2,2.0,8,62,,5,1.0,,6.0,1.0,,,,,1.0,,,3,6,246,41.0,,48,250,1.0,,5.0,3,193,,1.0,,20.0,140,,,1,,,,,1.0,,,,,,1.0,1.0,,1.0,1.0,1.0,1.0
Cincinnati,11/04/2023,UCF,L 26-28,27,19,1.0,267,1,158.25,19.0,14.053,0.704,267.0,43,248,280,32.0,5.77,2.0,248.0,29,19,267,19.0,14.05,1,267.0,40,515,7.36,12,3,4,32:57,70,515,7.36,14,9,,8,8.0,75,75.0,,,267,,,,23.0,538,,65,3.0,2.0,2.0,,,,,1.0,,,2.0,,26,,,,,35,26,5,2.0,14,61,,4,,,4.0,,,,,2.0,2.0,,39.0,1,2,89,44.5,,45,89,1.0,,,5,313,3.0,2.0,,23.0,224,,5.0,5,26.0,2.0,1.0,2.0,2.0,,,,,,,,,,1.0,,1.0
Cincinnati,11/11/2023,@ Houston,W 24-14,23,17,,164,1,148.16,17.0,9.647,0.739,164.0,48,204,239,35.0,4.25,2.0,204.0,62,17,164,17.0,9.65,1,164.0,20,368,5.18,13,2,7,36:55,71,368,5.18,11,10,1.0,2,2.0,8,8.0,,45.0,164,3.0,,4.0,,417,,69,3.0,3.0,3.0,,,,,,,,1.0,,24,1.0,,6.0,1.0,30,16,2,4.0,10,46,45.0,4,3.0,,7.0,,,,,1.0,1.0,,31.0,2,3,129,43.0,,48,122,1.0,,4.0,5,304,1.0,,,,268,,4.0,6,24.0,2.0,1.0,1.0,1.0,,,1,,1/,,3.0,,,1.0,3.0,
Cincinnati,11/18/2023,@ West Virginia,L 21-42,27,16,,191,2,143.13,16.0,11.938,0.593,191.0,31,141,172,31.0,4.55,1.0,141.0,25,16,191,16.0,11.94,2,191.0,55,332,5.72,12,1,5,25:11,58,332,5.72,10,7,1.0,5,5.0,38,38.0,,16.0,191,1.0,,,14.0,362,,50,3.0,3.0,3.0,,,,,,,,,,21,,,,,42,24,3,2.0,9,66,16.0,1,1.0,,2.0,,,,,,,,,3,6,251,41.8,,48,251,,,,4,260,2.0,2.0,,14.0,189,,2.0,2,14.0,1.0,1.0,,,,,,,,,1.0,,,,1.0,
Cincinnati,11/25/2023,Kansas,L 16-49,31,16,1.0,111,2,96.53,16.0,6.938,0.516,111.0,42,231,231,,5.5,,231.0,21,16,111,16.0,6.94,2,111.0,12,342,4.68,15,2,6,32:41,73,342,4.68,16,5,,6,6.0,65,65.0,,,111,,,,,342,,58,2.0,1.0,1.0,,1/,,,,,,1.0,,16,,,,,24,28,3,2.0,11,52,,1,,,1.0,1.0,,,,1.0,2.0,,49.0,1,4,155,38.8,,51,155,,,,4,212,1.0,,,,133,,2.0,2,13.0,,2.0,,,,,,,,,,,,,,1.0
