TeamNM,Date,Opponent,Result,Kicking_FGM,Kicking_FGA,Kicking_FG Blocks Allowed,Kicking_Long FGM
Cincinnati,09/02/2023,Eastern Ky.,W 66-13,1,1,,46
Cincinnati,09/09/2023,@ Pittsburgh,W 27-21,2,2,,47
Cincinnati,09/16/2023,Miami (OH),L 24-31 (1 OT),3,4,1,28
Cincinnati,09/23/2023,Oklahoma,L 6-20,2,3,,54
Cincinnati,09/29/2023,@ BYU,L 27-35,2,2,,33
Cincinnati,10/14/2023,Iowa St.,L 10-30,1,1,,36
Cincinnati,10/21/2023,Baylor,L 29-32,,,,
Cincinnati,10/28/2023,@ Oklahoma St.,L 13-45,,1,,
Cincinnati,11/04/2023,UCF,L 26-28,2,2,,39
Cincinnati,11/11/2023,@ Houston,W 24-14,1,1,,31
Cincinnati,11/18/2023,@ West Virginia,L 21-42,,,,
Cincinnati,11/25/2023,Kansas,L 16-49,1,2,,49
