TeamNM,Date,Opponent,Result,Kickoffs and KO Returns_KO,Kickoffs and KO Returns_KO Yds,Kickoffs and KO Returns_KO TB,Kickoffs and KO Returns_KO Ret,Kickoffs and KO Returns_Kick Ret TDs,Kickoffs and KO Returns_KO Ret Yds,Kickoffs and KO Returns_Net KO Yds.,Kickoffs and KO Returns_fc yds
Cincinnati,09/02/2023,Eastern Ky.,W 66-13,11,692,4,2,,42,474,
Cincinnati,09/09/2023,@ Pittsburgh,W 27-21,6,357,4,1,,15,229,
Cincinnati,09/16/2023,Miami (OH),L 24-31 (1 OT),6,365,3,2,,31,242,
Cincinnati,09/23/2023,Oklahoma,L 6-20,3,185,2,,,,126,
Cincinnati,09/29/2023,@ BYU,L 27-35,6,333,3,,,,240,
Cincinnati,10/14/2023,Iowa St.,L 10-30,3,149,,2,,38,39,
Cincinnati,10/21/2023,Baylor,L 29-32,5,320,3,3,,66,228,
Cincinnati,10/28/2023,@ Oklahoma St.,L 13-45,3,193,,1,,20,140,
Cincinnati,11/04/2023,UCF,L 26-28,5,313,3,2,,23,224,
Cincinnati,11/11/2023,@ Houston,W 24-14,5,304,1,,,,268,
Cincinnati,11/18/2023,@ West Virginia,L 21-42,4,260,2,2,,14,189,
Cincinnati,11/25/2023,Kansas,L 16-49,4,212,1,,,,133,
