TeamNM,Date,Opponent,Result,Passes Defended_IntYds,Passes Defended_PBU,Passes Defended_Int,Passes Defended_Int Ret TDs,Passes Defended_PDef
Cincinnati,09/02/2023,Eastern Ky.,W 66-13,6,2,2,,4.00
Cincinnati,09/09/2023,@ Pittsburgh,W 27-21,,9,,,9.00
Cincinnati,09/16/2023,Miami (OH),L 24-31 (1 OT),33,1,1,,2.00
Cincinnati,09/23/2023,Oklahoma,L 6-20,,5,,,5.00
Cincinnati,09/29/2023,@ BYU,L 27-35,,3,,,3.00
Cincinnati,10/14/2023,Iowa St.,L 10-30,,3,,,3.00
Cincinnati,10/21/2023,Baylor,L 29-32,,5,,,5.00
Cincinnati,10/28/2023,@ Oklahoma St.,L 13-45,,5,1,,6.00
Cincinnati,11/04/2023,UCF,L 26-28,,4,,,4.00
Cincinnati,11/11/2023,@ Houston,W 24-14,45,4,3,,7.00
Cincinnati,11/18/2023,@ West Virginia,L 21-42,16,1,1,,2.00
Cincinnati,11/25/2023,Kansas,L 16-49,,1,,,1.00
