TeamNM,Date,Opponent,Result,Passing_Pass Attempts,Passing_Completions,Passing_Interceptions,Passing_Pass Yards,Passing_PassTDs,Passing_Pass Eff,Passing_Completions Per Game,Passing_Yds PerCompletion,Passing_Pct,Passing_Pass Yards/G
Cincinnati,09/02/2023,Eastern Ky.,W 66-13,27,23,,438,6/,294.79,23.00,19.043,0.852,438.00
Cincinnati,09/09/2023,@ Pittsburgh,W 27-21,27,19,1,155,2,135.63,19.00,8.158,0.704,155.00
Cincinnati,09/16/2023,Miami (OH),L 24-31 (1 OT),34,18,2,265,,106.65,18.00,14.722,0.529,265.00
Cincinnati,09/23/2023,Oklahoma,L 6-20,42,22,2,235,,89.86,22.00,10.682,0.524,235.00
Cincinnati,09/29/2023,@ BYU,L 27-35,37,23,1,256,3,141.63,23.00,11.130,0.622,256.00
Cincinnati,10/14/2023,Iowa St.,L 10-30,29,15,2,99,1,77.99,15.00,6.600,0.517,99.00
Cincinnati,10/21/2023,Baylor,L 29-32,31,19,,162,2,126.48,19.00,8.526,0.613,162.00
Cincinnati,10/28/2023,@ Oklahoma St.,L 13-45,25,11,1,165,1,104.64,11.00,15.000,0.440,165.00
Cincinnati,11/04/2023,UCF,L 26-28,27,19,1,267,1,158.25,19.00,14.053,0.704,267.00
Cincinnati,11/11/2023,@ Houston,W 24-14,23,17,,164,1,148.16,17.00,9.647,0.739,164.00
Cincinnati,11/18/2023,@ West Virginia,L 21-42,27,16,,191,2,143.13,16.00,11.938,0.593,191.00
Cincinnati,11/25/2023,Kansas,L 16-49,31,16,1,111,2,96.53,16.00,6.938,0.516,111.00
