TeamNM,Date,Opponent,Result,Punting_Punts inside 20,Punting_Punts,Punting_Punt Yds,Punting_Punt Avg,Punting_Punt TBs,Punting_Long Punt,Punting_Net Punt Yds
Cincinnati,09/02/2023,Eastern Ky.,W 66-13,1,1,45,45.0,,45,45
Cincinnati,09/09/2023,@ Pittsburgh,W 27-21,2,5,198,39.6,,47,190
Cincinnati,09/16/2023,Miami (OH),L 24-31 (1 OT),2,2,88,44.0,,52,88
Cincinnati,09/23/2023,Oklahoma,L 6-20,3,4,193,48.3,,57,186
Cincinnati,09/29/2023,@ BYU,L 27-35,1,3,125,41.7,,46,126
Cincinnati,10/14/2023,Iowa St.,L 10-30,3,5,234,46.8,,50,231
Cincinnati,10/21/2023,Baylor,L 29-32,1,4,182,45.5,,50,130
Cincinnati,10/28/2023,@ Oklahoma St.,L 13-45,3,6,246,41.0,,48,250
Cincinnati,11/04/2023,UCF,L 26-28,1,2,89,44.5,,45,89
Cincinnati,11/11/2023,@ Houston,W 24-14,2,3,129,43.0,,48,122
Cincinnati,11/18/2023,@ West Virginia,L 21-42,3,6,251,41.8,,48,251
Cincinnati,11/25/2023,Kansas,L 16-49,1,4,155,38.8,,51,155
