TeamNM,Date,Opponent,Result,Receiving_Rec,Receiving_ReceivingYards,Receiving_ReceptionsPer Game,Receiving_Yards PerReception,Receiving_Rec TD,Receiving_Rec Yds/G,Receiving_Long Rec
Cincinnati,09/02/2023,Eastern Ky.,W 66-13,23,438,23.00,19.04,6/,438.00,65
Cincinnati,09/09/2023,@ Pittsburgh,W 27-21,19,155,19.00,8.16,2,155.00,30
Cincinnati,09/16/2023,Miami (OH),L 24-31 (1 OT),18,265,18.00,14.72,,265.00,37
Cincinnati,09/23/2023,Oklahoma,L 6-20,22,235,22.00,10.68,,235.00,35
Cincinnati,09/29/2023,@ BYU,L 27-35,23,256,23.00,11.13,3,256.00,31
Cincinnati,10/14/2023,Iowa St.,L 10-30,15,99,15.00,6.60,1,99.00,20
Cincinnati,10/21/2023,Baylor,L 29-32,19,162,19.00,8.53,2,162.00,30
Cincinnati,10/28/2023,@ Oklahoma St.,L 13-45,11,165,11.00,15.00,1,165.00,53
Cincinnati,11/04/2023,UCF,L 26-28,19,267,19.00,14.05,1,267.00,40
Cincinnati,11/11/2023,@ Houston,W 24-14,17,164,17.00,9.65,1,164.00,20
Cincinnati,11/18/2023,@ West Virginia,L 21-42,16,191,16.00,11.94,2,191.00,55
Cincinnati,11/25/2023,Kansas,L 16-49,16,111,16.00,6.94,2,111.00,12
