TeamNM,Date,Opponent,Result,Redzone_RZScores,Redzone_RZAtt,Redzone_RZPts,Redzone_RZ Rush TD,Redzone_RZ Pass TD,Redzone_RZ FG Made,Redzone_RZEndFGA,Redzone_RZEndFumble,Redzone_RZEndINT,Redzone_RZEndDowns,Redzone_RZEndHalf,Redzone_RZEndGame
Cincinnati,09/02/2023,Eastern Ky.,W 66-13,6,6,38,3,2,1,1,,,,,
Cincinnati,09/09/2023,@ Pittsburgh,W 27-21,3,3,17,1,1,1,1,,,,,
Cincinnati,09/16/2023,Miami (OH),L 24-31 (1 OT),5,8,24,2,,3,4,,1,1,,
Cincinnati,09/23/2023,Oklahoma,L 6-20,,2,,,,,1,,,1,,
Cincinnati,09/29/2023,@ BYU,L 27-35,2,2,6,,,2,2,,,,,
Cincinnati,10/14/2023,Iowa St.,L 10-30,2,2,10,,1,1,1,,,,,
Cincinnati,10/21/2023,Baylor,L 29-32,2,4,14,1,1,,,,,2/,,
Cincinnati,10/28/2023,@ Oklahoma St.,L 13-45,,1,,,,,1,,,,,
Cincinnati,11/04/2023,UCF,L 26-28,5,5,26,2,1,2,2,,,,,
Cincinnati,11/11/2023,@ Houston,W 24-14,4,6,24,2,1,1,1,,,1,,1/
Cincinnati,11/18/2023,@ West Virginia,L 21-42,2,2,14,1,1,,,,,,,
Cincinnati,11/25/2023,Kansas,L 16-49,2,2,13,,2,,,,,,,
