TeamNM,Date,Opponent,Result,Rushing_Rush Attempts,Rushing_Rush Net Yards,Rushing_Rush YdsGained,Rushing_Rush YdsLost,Rushing_Yds/Rush,Rushing_RushTDs,Rushing_Rush Yds/G,Rushing_Rush Long
Cincinnati,09/02/2023,Eastern Ky.,W 66-13,44,229,249,20,5.20,3,229.00,54
Cincinnati,09/09/2023,@ Pittsburgh,W 27-21,42,216,229,13,5.14,1,216.00,68
Cincinnati,09/16/2023,Miami (OH),L 24-31 (1 OT),57/,273,298,25,4.79,2,273.00,27
Cincinnati,09/23/2023,Oklahoma,L 6-20,37,141,161,20,3.81,,141.00,20
Cincinnati,09/29/2023,@ BYU,L 27-35,47,242,253,11,5.15,,242.00,20
Cincinnati,10/14/2023,Iowa St.,L 10-30,33,115,134,19,3.48,,115.00,14
Cincinnati,10/21/2023,Baylor,L 29-32,43,288,312,24,6.70,2,288.00,40
Cincinnati,10/28/2023,@ Oklahoma St.,L 13-45,50,277,294,17,5.54,1,277.00,63
Cincinnati,11/04/2023,UCF,L 26-28,43,248,280,32,5.77,2,248.00,29
Cincinnati,11/11/2023,@ Houston,W 24-14,48,204,239,35,4.25,2,204.00,62
Cincinnati,11/18/2023,@ West Virginia,L 21-42,31,141,172,31,4.55,1,141.00,25
Cincinnati,11/25/2023,Kansas,L 16-49,42,231,231,,5.50,,231.00,21
