TeamNM,Date,Opponent,Result,Scoring_TDs,Scoring_Kick PAT,Scoring_PAT Att,Scoring_RushPAT,Scoring_Ru2PTAtt,Scoring_ReceivingPAT,Scoring_Pass 2Pt Conv,Scoring_Pass 2PT Att,Scoring_Kick ReturnPAT,Scoring_Fumb RetPAT,Scoring_FG,Scoring_Safeties,Scoring_Points
Cincinnati,09/02/2023,Eastern Ky.,W 66-13,9,9,9,,,,,,,,1,,66
Cincinnati,09/09/2023,@ Pittsburgh,W 27-21,3,3,3,,,,,,,,2,,27
Cincinnati,09/16/2023,Miami (OH),L 24-31 (1 OT),2,1,1,,,1,1,1,,,3,,24
Cincinnati,09/23/2023,Oklahoma,L 6-20,,,,,,,,,,,2,,6
Cincinnati,09/29/2023,@ BYU,L 27-35,3,3,3,,,,,,,,2,,27
Cincinnati,10/14/2023,Iowa St.,L 10-30,1,1,1,,,,,,,,1,,10
Cincinnati,10/21/2023,Baylor,L 29-32,4,3,3,,,1,1,1,,,,,29
Cincinnati,10/28/2023,@ Oklahoma St.,L 13-45,2,1,1,,1/,,,,,,,,13
Cincinnati,11/04/2023,UCF,L 26-28,3,2,2,,,,,1,,,2,,26
Cincinnati,11/11/2023,@ Houston,W 24-14,3,3,3,,,,,,,,1,,24
Cincinnati,11/18/2023,@ West Virginia,L 21-42,3,3,3,,,,,,,,,,21
Cincinnati,11/25/2023,Kansas,L 16-49,2,1,1,,1/,,,,,,1,,16
